project_code	submitter_sample_id	ega_sample_id	ega_experiment_id	ega_run_id	file_name	ega_file_id	encrypted_file_md5sum	file_md5sum	dataset_id
THCA-CN	D11N	EGAN00001514350	EGAX00001497988	EGAR00001541916	THCA-CN/D-11N-II/140327_I188_FCC4ECKACXX_L6_HUMltuXAAAXAAA-119_1.fq.gz.gpg	EGAF00001585953	ab870b704c9a0adf6ce5600a32a4ab1a	514263f151ffd05859c16fdc26d8d89b	EGAD00001003262
THCA-CN	D11N	EGAN00001514350	EGAX00001497988	EGAR00001541916	THCA-CN/D-11N-II/140327_I188_FCC4ECKACXX_L6_HUMltuXAAAXAAA-119_2.fq.gz.gpg	EGAF00001585954	96fb5844f9cf1ad89aed143db2014e33	7d6c0d112680611c9d7da792cb5497a4	EGAD00001003262
THCA-CN	D11N	EGAN00001514350	EGAX00001497989	EGAR00001541917	THCA-CN/D-11N-II/140327_I188_FCC4ECKACXX_L7_HUMltuXAAAXAAA-119_1.fq.gz.gpg	EGAF00001585955	b7d7fe528fa9343701022e4c6b64a0a5	f868f32a54fc87b21f7de13af6d00c77	EGAD00001003262
THCA-CN	D11N	EGAN00001514350	EGAX00001497989	EGAR00001541917	THCA-CN/D-11N-II/140327_I188_FCC4ECKACXX_L7_HUMltuXAAAXAAA-119_2.fq.gz.gpg	EGAF00001585956	44ecd7c3967a6914042194033c7b0555	e210f6b20cbc2b4e7d6322e9b72a438f	EGAD00001003262
THCA-CN	D11N	EGAN00001514350	EGAX00001497990	EGAR00001541918	THCA-CN/D-11N-II/140226_I684_FCC44FVACXX_L4_HUMltuXAAAXAAA-119_1.fq.gz.gpg	EGAF00001585957	8a660a3498a969363da94071bb186c10	00edd783e91efa63c67eb7c1a6eefa4e	EGAD00001003262
THCA-CN	D11N	EGAN00001514350	EGAX00001497990	EGAR00001541918	THCA-CN/D-11N-II/140226_I684_FCC44FVACXX_L4_HUMltuXAAAXAAA-119_2.fq.gz.gpg	EGAF00001585958	165428ba30d56afc7f4a57bdc032bbd1	67155f49c28c7963ef80f1b224d25d82	EGAD00001003262
THCA-CN	D11N	EGAN00001514350	EGAX00001497991	EGAR00001541919	THCA-CN/D-11N-II/140226_I684_FCC44FVACXX_L5_HUMltuXAAAXAAA-119_1.fq.gz.gpg	EGAF00001585959	364ebceddcb5858ecf45eec3a59e749a	7200aa251a52ab83fdf7dddcddd8f5e1	EGAD00001003262
THCA-CN	D11N	EGAN00001514350	EGAX00001497991	EGAR00001541919	THCA-CN/D-11N-II/140226_I684_FCC44FVACXX_L5_HUMltuXAAAXAAA-119_2.fq.gz.gpg	EGAF00001585960	a95f260d591d54c621ddf67351aa68e6	5436016eba210c328da36e491eccd240	EGAD00001003262
THCA-CN	D11N	EGAN00001514350	EGAX00001497992	EGAR00001541920	THCA-CN/D-11N-II/140226_I684_FCC44FVACXX_L6_HUMltuXAAAXAAA-119_1.fq.gz.gpg	EGAF00001585961	edf4f2af34f4d662f744e96cca38feb4	506028c7bf158c60f1d5a0924379e8b5	EGAD00001003262
THCA-CN	D11N	EGAN00001514350	EGAX00001497992	EGAR00001541920	THCA-CN/D-11N-II/140226_I684_FCC44FVACXX_L6_HUMltuXAAAXAAA-119_2.fq.gz.gpg	EGAF00001585962	70404bb4129cf8f20a1ab85a8ea3c3e3	9838cfb4847d5bea5d42217230caec89	EGAD00001003262
THCA-CN	D11T	EGAN00001514351	EGAX00001497993	EGAR00001541921	THCA-CN/D-11T/140315_I191_FCC3UKPACXX_L4_HUMltuXBAADAAA-139_1.fq.gz.gpg	EGAF00001585963	775805b70390916f582e6722a1341785	9dc2d5eb879d8e81e499fb17174bc844	EGAD00001003262
THCA-CN	D11T	EGAN00001514351	EGAX00001497993	EGAR00001541921	THCA-CN/D-11T/140315_I191_FCC3UKPACXX_L4_HUMltuXBAADAAA-139_2.fq.gz.gpg	EGAF00001585964	5ead7644cf6ad171bff37433928440e7	281fd6daaafff10e5ef43a75db06f922	EGAD00001003262
THCA-CN	D11T	EGAN00001514351	EGAX00001497994	EGAR00001541922	THCA-CN/D-11T/140315_I191_FCC3UKPACXX_L2_HUMltuXBAADAAA-139_1.fq.gz.gpg	EGAF00001585965	f43f1cc968cd4f0f3ff9f1a096656188	2c13494e9ce7af66cd90e37b99336160	EGAD00001003262
THCA-CN	D11T	EGAN00001514351	EGAX00001497994	EGAR00001541922	THCA-CN/D-11T/140315_I191_FCC3UKPACXX_L2_HUMltuXBAADAAA-139_2.fq.gz.gpg	EGAF00001585966	1fb47cf4ca44b98940933f0c5945dfc3	c584bc8afc3e47952e5c08ca73c17532	EGAD00001003262
THCA-CN	D11T	EGAN00001514351	EGAX00001497995	EGAR00001541923	THCA-CN/D-11T/140315_I191_FCC3UKPACXX_L3_HUMltuXBAADAAA-139_1.fq.gz.gpg	EGAF00001585967	fd16a9fa97a7abcebafb9c073f840e83	56dabcceb5b984615b35bb4b686e9fab	EGAD00001003262
THCA-CN	D11T	EGAN00001514351	EGAX00001497995	EGAR00001541923	THCA-CN/D-11T/140315_I191_FCC3UKPACXX_L3_HUMltuXBAADAAA-139_2.fq.gz.gpg	EGAF00001585968	885b51088383d1961dfced67a7aa9dd5	a458bcc59df1d7f2eddc38e67275f151	EGAD00001003262
THCA-CN	D11T	EGAN00001514351	EGAX00001497996	EGAR00001541924	THCA-CN/D-11T/140315_I191_FCC3UKPACXX_L5_HUMltuXBAADAAA-139_1.fq.gz.gpg	EGAF00001585969	4cccba112f7f7cc7b78f794f54e3c97e	2098d0ed87021b980225846e070c6168	EGAD00001003262
THCA-CN	D11T	EGAN00001514351	EGAX00001497996	EGAR00001541924	THCA-CN/D-11T/140315_I191_FCC3UKPACXX_L5_HUMltuXBAADAAA-139_2.fq.gz.gpg	EGAF00001585970	8b7e585d00cfeab519289bfde1f19c1b	b490e82f35226943d73d38623423c26e	EGAD00001003262
THCA-CN	D11T	EGAN00001514351	EGAX00001497997	EGAR00001541925	THCA-CN/D-11T/140406_I875_FCC4JHFACXX_L5_HUMltuXBAADAAA-139_1.fq.gz.gpg	EGAF00001585971	c649ea96c9ee793407bf3232a27fc315	c73fa588c210ab895d85a8235c53d38e	EGAD00001003262
THCA-CN	D11T	EGAN00001514351	EGAX00001497997	EGAR00001541925	THCA-CN/D-11T/140406_I875_FCC4JHFACXX_L5_HUMltuXBAADAAA-139_2.fq.gz.gpg	EGAF00001585972	62ab6ad127909ae6c4777c76706b8c02	35308a8c65ad49d2f6172b322d23b830	EGAD00001003262
THCA-CN	D11T	EGAN00001514351	EGAX00001497998	EGAR00001541926	THCA-CN/D-11T/140406_I875_FCC4JHFACXX_L4_HUMltuXBAADAAA-139_1.fq.gz.gpg	EGAF00001585973	10caf5007a8ca95a7a911d2a068e66f1	048ca2d5a653b667895f0ce4a64a8364	EGAD00001003262
THCA-CN	D11T	EGAN00001514351	EGAX00001497998	EGAR00001541926	THCA-CN/D-11T/140406_I875_FCC4JHFACXX_L4_HUMltuXBAADAAA-139_2.fq.gz.gpg	EGAF00001585974	4a465ca267b4838967436c7ac8116ee9	4e8a2f75b7e0732497916d057b2962da	EGAD00001003262
THCA-CN	D11T	EGAN00001514351	EGAX00001497999	EGAR00001541927	THCA-CN/D-11T/140405_I305_FCC4DJMACXX_L8_HUMltuXBABMAAA-67_1.fq.gz.gpg	EGAF00001585975	fe3a85f8c313dd4d8878e0b3b5064154	f75f2641268e158958ecd8913ef9ac4e	EGAD00001003262
THCA-CN	D11T	EGAN00001514351	EGAX00001497999	EGAR00001541927	THCA-CN/D-11T/140405_I305_FCC4DJMACXX_L8_HUMltuXBABMAAA-67_2.fq.gz.gpg	EGAF00001585976	b77ed92fe3fc1c468ddc6dfefbfe3500	82bd745b7d1899afc40531a3391d8f92	EGAD00001003262
THCA-CN	D11T	EGAN00001514351	EGAX00001498000	EGAR00001541928	THCA-CN/D-11T/140405_I305_FCC4DJMACXX_L7_HUMltuXBABMAAA-67_1.fq.gz.gpg	EGAF00001586009	f51a57fa599ffbc39f473f254277d30c	7cc0a9e17dc87cc8920a1f51959bd128	EGAD00001003262
THCA-CN	D11T	EGAN00001514351	EGAX00001498000	EGAR00001541928	THCA-CN/D-11T/140405_I305_FCC4DJMACXX_L7_HUMltuXBABMAAA-67_2.fq.gz.gpg	EGAF00001586010	bb21040eb559421bfdd5ed7c56ba6605	f8936135488d06ff28ad83cabb3f0ba0	EGAD00001003262
THCA-CN	D11T	EGAN00001514351	EGAX00001498001	EGAR00001541929	THCA-CN/D-11T/140314_I646_FCC47P5ACXX_L5_HUMltuXBABMAAA-67_1.fq.gz.gpg	EGAF00001586011	5173b9124263352191a85c7a59beb2a0	e2fa874b10bb4097602089ef82c02b97	EGAD00001003262
THCA-CN	D11T	EGAN00001514351	EGAX00001498001	EGAR00001541929	THCA-CN/D-11T/140314_I646_FCC47P5ACXX_L5_HUMltuXBABMAAA-67_2.fq.gz.gpg	EGAF00001586012	5c9689ab93c987aea18e9a075b19906a	8cdcd4513b91a762b7a7ec7d9b65c159	EGAD00001003262
THCA-CN	D11T	EGAN00001514351	EGAX00001498002	EGAR00001541930	THCA-CN/D-11T/140314_I646_FCC47P5ACXX_L6_HUMltuXBABMAAA-67_1.fq.gz.gpg	EGAF00001586013	539852f0e32df890aa5c88ab993455e8	9fecf8b01e574b6ecdf89fc3d1545a76	EGAD00001003262
THCA-CN	D11T	EGAN00001514351	EGAX00001498002	EGAR00001541930	THCA-CN/D-11T/140314_I646_FCC47P5ACXX_L6_HUMltuXBABMAAA-67_2.fq.gz.gpg	EGAF00001586014	b92ab26f2e017a050524a9595eb42e1a	50e73ca6db06d63a95bc28458409c0d3	EGAD00001003262
THCA-CN	D11T	EGAN00001514351	EGAX00001498003	EGAR00001541931	THCA-CN/D-11T/140314_I646_FCC47P5ACXX_L3_HUMltuXBABMAAA-67_1.fq.gz.gpg	EGAF00001586015	30e9f636f0a30aa99a9dd6d5d02a4764	522d04a89d54ccd2cb8a44c4cd4132e4	EGAD00001003262
THCA-CN	D11T	EGAN00001514351	EGAX00001498003	EGAR00001541931	THCA-CN/D-11T/140314_I646_FCC47P5ACXX_L3_HUMltuXBABMAAA-67_2.fq.gz.gpg	EGAF00001586016	139b135a60cd670083f89952b0164189	0da47f3f57d76472377fb60a633783c9	EGAD00001003262
THCA-CN	D11T	EGAN00001514351	EGAX00001498004	EGAR00001541932	THCA-CN/D-11T/140314_I646_FCC47P5ACXX_L8_HUMltuXBABMAAA-67_1.fq.gz.gpg	EGAF00001586017	414935b91eff90ea0a91198b4c07c45a	2dee8fb3e9bf2f4b24be6892e4681162	EGAD00001003262
THCA-CN	D11T	EGAN00001514351	EGAX00001498004	EGAR00001541932	THCA-CN/D-11T/140314_I646_FCC47P5ACXX_L8_HUMltuXBABMAAA-67_2.fq.gz.gpg	EGAF00001586018	cdb80906f4a94708548793fd8f2fce11	6c694fa562fb7ba67644e25fc7d579f7	EGAD00001003262
THCA-CN	D12N	EGAN00001514352	EGAX00001498005	EGAR00001541933	THCA-CN/D-12N/140225_I709_FCC44FPACXX_L3_HUMltuXAAACAAA-81_1.fq.gz.gpg	EGAF00001586019	122eb986a8a1f691df68b5b87902c3e5	a1cc9b9fe2e41fc3d77a43b2a88b6bda	EGAD00001003262
THCA-CN	D12N	EGAN00001514352	EGAX00001498005	EGAR00001541933	THCA-CN/D-12N/140225_I709_FCC44FPACXX_L3_HUMltuXAAACAAA-81_2.fq.gz.gpg	EGAF00001586020	d9178d1574597548111acda75c8ac691	760877e17036450d98ef31a0e1f64a2f	EGAD00001003262
THCA-CN	D12N	EGAN00001514352	EGAX00001498006	EGAR00001541934	THCA-CN/D-12N/140223_I686_FCC3R7YACXX_L3_HUMltuXAAACAAA-81_1.fq.gz.gpg	EGAF00001586021	dc682116cc2f2cf4530df15a479ade63	adaaa306d61ee1f8280be08c2ef1daad	EGAD00001003262
THCA-CN	D12N	EGAN00001514352	EGAX00001498006	EGAR00001541934	THCA-CN/D-12N/140223_I686_FCC3R7YACXX_L3_HUMltuXAAACAAA-81_2.fq.gz.gpg	EGAF00001586022	ca4c830ebc45315d665686064dcb7cec	b877e1de6635051427312597b9953639	EGAD00001003262
THCA-CN	D12N	EGAN00001514352	EGAX00001498007	EGAR00001541935	THCA-CN/D-12N/140223_I597_FCC44GKACXX_L5_HUMltuXAAACAAA-81_1.fq.gz.gpg	EGAF00001586023	6970aaf49d59220ccaba5357b7fe22e6	f7cf3cceb1406ce455e1331e9afae46c	EGAD00001003262
THCA-CN	D12N	EGAN00001514352	EGAX00001498007	EGAR00001541935	THCA-CN/D-12N/140223_I597_FCC44GKACXX_L5_HUMltuXAAACAAA-81_2.fq.gz.gpg	EGAF00001586024	631153e3ceba24d57a3532cc27ad87f8	f39bfca9d8da90c630bd8790ecc66d1c	EGAD00001003262
THCA-CN	D12N	EGAN00001514352	EGAX00001498008	EGAR00001541936	THCA-CN/D-12N/140329_I680_FCC4G5VACXX_L8_HUMltuXAAACAAA-81_1.fq.gz.gpg	EGAF00001586025	356433c9cf80a76d0f6898b68451b116	310fe4e843b9f4d70c8cecbc698a9e33	EGAD00001003262
THCA-CN	D12N	EGAN00001514352	EGAX00001498008	EGAR00001541936	THCA-CN/D-12N/140329_I680_FCC4G5VACXX_L8_HUMltuXAAACAAA-81_2.fq.gz.gpg	EGAF00001586026	9766d176c9cd7cd2ca401064dd3ec363	c5e59f23a9cd92e31f52d44d080a36d0	EGAD00001003262
THCA-CN	D12N	EGAN00001514352	EGAX00001498009	EGAR00001541937	THCA-CN/D-12N/140329_I680_FCC4G5VACXX_L7_HUMltuXAAACAAA-81_1.fq.gz.gpg	EGAF00001586027	73a0ae18fc4d60a34285b615adbe9edf	9a917284585c45fba6901a01c8642ada	EGAD00001003262
THCA-CN	D12N	EGAN00001514352	EGAX00001498009	EGAR00001541937	THCA-CN/D-12N/140329_I680_FCC4G5VACXX_L7_HUMltuXAAACAAA-81_2.fq.gz.gpg	EGAF00001586028	c816a2c64d9e1c17d3c3a66746acd40f	56e7cb62aa9d17dd3f48b7043caf99f1	EGAD00001003262
THCA-CN	D12T	EGAN00001514353	EGAX00001498010	EGAR00001541938	THCA-CN/D-12T/140405_I305_FCC4DJMACXX_L8_HUMltuXBABNAAA-73_1.fq.gz.gpg	EGAF00001586029	ca07f89f8681d818b8e9baa8da7e7d2b	666b70eed9488aaaf3ea358b34c501dc	EGAD00001003262
THCA-CN	D12T	EGAN00001514353	EGAX00001498010	EGAR00001541938	THCA-CN/D-12T/140405_I305_FCC4DJMACXX_L8_HUMltuXBABNAAA-73_2.fq.gz.gpg	EGAF00001586030	c85bdba4e129808968a2e29a8cb36566	c397bd8018290df95375964e5deb30b6	EGAD00001003262
