project_code	submitter_sample_id	ega_sample_id	ega_analysis_id	file_name	ega_file_id	encrypted_file_md5sum	file_md5sum	dataset_id	file_size
THCA-SA	245C	EGAN00001409807	EGAZ00001301180	TG/BAM/245C_recalibrated.bam	EGAF00001665151	eafb05183a8b539b2c5cb1687fbf7d4f	2bc8a76190622d5d21352f9f6d71451c	EGAD00001003358	19423676371
THCA-SA	22B	EGAN00001409732	EGAZ00001301255	TG/BAM/22B_recalibrated.bam	EGAF00001665141	42f9ff6098e23c823d422ec69eff1c55	7917dad45f30de567ce1d664b4696954	EGAD00001003358	14408246691
THCA-SA	270B	EGAN00001409818	EGAZ00001301169	TG/BAM/270B_recalibrated.bam	EGAF00001665100	64b6acb8fe4339469c363618d7a61b5c	6d286ac5633b84ffd232ccd397a5bdf9	EGAD00001003358	19868183442
THCA-SA	20C	EGAN00001409731	EGAZ00001301256	TG/BAM/20C_recalibrated.bam	EGAF00001665142	d212df83d6ecf4dbe3eb977746e6109f	bba6352592ad65808a38c711e494446c	EGAD00001003358	14157236855
THCA-SA	669C-new	EGAN00001905587	EGAZ00001386952	EXOME/PTC-0669FC.recalibrated.bam	EGAF00002258628	95e05abb1dd824555774bc01e9fcddac	3ba6aeb0331449d34ecaa63418a453f9	EGAD00001004490	13085699487
THCA-SA	7B	EGAN00001188591	EGAZ00001316125	EXOME/7B_recalibrated.bam	EGAF00001848095	7f71e6474b0af8bf314ea5209d869971	bfee424e67cdaa0347fc35dced1a844a	EGAD00001003950	18710569653
THCA-SA	511C	EGAN00001409938	EGAZ00001301121	TG/BAM/511C_recalibrated.bam	EGAF00001665179	e8898ee226022212754fc5687ab887c8	0425db27a6ad0e2b65377d0d2a8e9371	EGAD00001003358	19131457701
THCA-SA	340B	EGAN00001278531	EGAZ00001301078	TG/BAM/340B_recalibrated.bam	EGAF00001665064	f4078e25a71458f6c9b20739cfe8b597	057b5f6ba1b6db5dc4792eb3c125c2fe	EGAD00001003358	15110552637
THCA-SA	236B	EGAN00001409802	EGAZ00001301185	TG/BAM/236B_recalibrated.bam	EGAF00001665163	62682d680de52413689b156657b02365	0c4cc9eb4a6d732b671eebe958e72ba4	EGAD00001003358	14158925816
THCA-SA	288C	EGAN00001409835	EGAZ00001301152	TG/BAM/288C_recalibrated.bam	EGAF00001665053	b5215c87fb5c242e57f1b9028ba3e8b0	36dcf5eb7d78a278a3f5eaa8fce2b59f	EGAD00001003358	23264886091
