project_code	submitter_sample_id	ega_sample_id	ega_experiment_id	ega_run_id	file_name	ega_file_id	encrypted_file_md5sum	file_md5sum	dataset_id
BRCA-EU	PD18775b	EGAN00001180156	EGAX00001187490	EGAR00001192674	11959_4#29.cram.gpg	EGAF00000521476	da39af103ba846b650a7fb2f180218a2	7e8db119b21f7163a46a44f976053a23	EGAD00001001337
BRCA-EU	PD13754a	EGAN00001174385	EGAX00001164222	EGAR00001168900	11331_1#37.cram.gpg	EGAF00000486531	222eb3c7e37680264b445323e97fb67f	2bf600232f8936ee5a62265b604931a6	EGAD00001001337
BRCA-EU	PD11756a	EGAN00001174365	EGAX00001163391	EGAR00001168069	11237_2#17.cram.gpg	EGAF00000480868	e92b9b0ec7701dc0d40dce6954ada253	7e608cec5de4bd20411c978cfea00fe9	EGAD00001001337
BRCA-EU	PD11339a	EGAN00001087647	EGAX00001095336	EGAR00001099015	9111_3#6.bam.gpg	EGAF00000172239	c788ccacc46cffa335d327972ba1c9d5	71cdd437c78facf05c856647a08fc3a6	EGAD00001001337
BRCA-EU	PD17973a	EGAN00001180099	EGAX00001185951	EGAR00001191059	11904_2#1.cram.gpg	EGAF00000519145	152109f78b746fa3ff82b359559cf01e	81fab8c68dd07b811fbebe933f7c0c5c	EGAD00001001337
BRCA-EU	PD13764b	EGAN00001174486	EGAX00001172896	EGAR00001177477	11617_1#47.cram.gpg	EGAF00000496228	8f44e298d4a46bfdf4c1e9bdb6d30348	60b583eaaf2b1299dc64d6df47b5e150	EGAD00001001337
BRCA-EU	PD11338a	EGAN00001087646	EGAX00001095343	EGAR00001099022	9111_4#5.bam.gpg	EGAF00000172246	fdb898087d5a48c261bf4058486f35bd	63953a1a876f3a08f4a7fa140640de3b	EGAD00001001337
BRCA-EU	PD17991a	EGAN00001180103	EGAX00001185947	EGAR00001191055	11904_1#5.cram.gpg	EGAF00000519141	0138da9c63779a3802657ded344223d0	36b86d0d054912180c202f8dff9b385b	EGAD00001001337
BRCA-EU	PD17994a	EGAN00001180104	EGAX00001185948	EGAR00001191056	11904_1#6.cram.gpg	EGAF00000519142	34f0373b798b79626eaf00d431816bdb	f5d70668fc4b9aff810634a7f7ffdc96	EGAD00001001337
BRCA-EU	PD18100a	EGAN00001180105	EGAX00001185949	EGAR00001191057	11904_1#7.cram.gpg	EGAF00000519143	21b849761329e975231b78cc33ef158f	ba1590f00a4f47cd7b0b55b9c66508fe	EGAD00001001337
BRCA-EU	PD11339a	EGAN00001087647	EGAX00001095328	EGAR00001099007	9111_2#6.bam.gpg	EGAF00000172231	304c1bb07f2236030932d449c2d193d3	d0fa7f7cede9ee9429d2f3055730f70c	EGAD00001001337
