project_code	submitter_sample_id	ega_sample_id	ega_experiment_id	ega_run_id	file_name	ega_file_id	encrypted_file_md5sum	file_md5sum	dataset_id
BRCA-FR	DN13034	EGAN00001349699	EGAX00001347831	EGAR00001383745	ls981_C5E68ANXX_3_5nf.ua.bam	EGAF00000932895	408d4876e4d526e6236b6ce6d77b06e3	20418f4d8cc5c0021d75ff5e49f0e622	EGAD00001001844
BRCA-FR	DN13048	EGAN00001349705	EGAX00001347833	EGAR00001383747	ls638_HUMAN_37_genomic_PD18045b_11518_8_slc.ua.bam	EGAF00000932897	4c3a706e1a49499c314ca377108a6e9b	6502cec7a9c1920905d4c5eca5e36049	EGAD00001001844
BRCA-FR	DN13048	EGAN00001349705	EGAX00001347832	EGAR00001383746	ls637_HUMAN_37_genomic_PD18045b_11456_8_slc.ua.bam	EGAF00000932896	69617ff12a916d126a7179c4565e35e4	06a1d2ef93dd3bbd33f33c29f5a53417	EGAD00001001844
BRCA-FR	DN1102C	EGAN00001349638	EGAX00001345325	EGAR00001375829	ls354_HUMAN_37_genomic_PD7202b_7390_7_slc.ua.bam	EGAF00000921831	bf27f2af3a875939f78a55f4088095f2	56a93b374d6a8ceaa5bcef6b38decbf3	EGAD00001001844
BRCA-FR	DN11010	EGAN00001349635	EGAX00001345316	EGAR00001375820	ls422_HUMAN_37_genomic_PD9576a_9026_8_slc.ua.bam	EGAF00000921830	903906ded3a08bafcbd89d3ab62b796f	79db72c7063b0c66c36bd27ea13ed8e3	EGAD00001001844
BRCA-FR	DN13076	EGAN00001349698	EGAX00001347843	EGAR00001383757	ls843_C5E0LANXX_5_3nf.ua.bam	EGAF00000932899	dc55b1017228edb0f1d8b25be7cf936f	07557190bf9bc03574d40c90fa6880e7	EGAD00001001844
BRCA-FR	DN13048	EGAN00001349705	EGAX00001347834	EGAR00001383748	ls639_HUMAN_37_genomic_PD18045b_11456_7_slc.ua.bam	EGAF00000932898	73af117d4c4dd0d4fcc873c929a42b66	972ddd6c5b963e07b04e63781091262f	EGAD00001001844
BRCA-FR	DN14063	EGAN00001349706	EGAX00001348131	EGAR00001384045	ls1059_C5E68ANXX_5_1nf.ua.bam	EGAF00000938000	28c445bed9e9cfec9397dfd30bc7a312	c25f837da5e5c770fae4531b63e3e364	EGAD00001001844
BRCA-FR	DN14063	EGAN00001349706	EGAX00001348132	EGAR00001384046	ls1070_C5E5AANXX_7_1nf.ua.bam	EGAF00000938001	fe6a4af11583101ea57005b386dc6a95	27c61dfae023150aed98e58c7674d5f8	EGAD00001001844
BRCA-FR	DN14063	EGAN00001349706	EGAX00001348133	EGAR00001384047	ls1109_C5E5AANXX_5_1nf.ua.bam	EGAF00000938002	2202bfce760c9cbad2c2268a6f233ada	c96bf95dd67565048d983c17648e821f	EGAD00001001844
BRCA-FR	DN14063	EGAN00001349706	EGAX00001348134	EGAR00001384048	ls1122_C5E5AANXX_8_1nf.ua.bam	EGAF00000938003	b72d32f0c65bcb05958e6ecac5da78ab	2f8a127a30dc17695bfded5779606710	EGAD00001001844
BRCA-FR	DN14063	EGAN00001349706	EGAX00001348135	EGAR00001384049	ls1130_C5E68ANXX_7_1nf.ua.bam	EGAF00000938004	94a8794b892545538b35dc9056656880	92847ae4dde752d0d72aa85a79a6fa71	EGAD00001001844
BRCA-FR	DN14063	EGAN00001349706	EGAX00001348136	EGAR00001384050	ls791_C5E50ANXX_2_1nf.ua.bam	EGAF00000938005	a12b725b82b611142a3ff301ff4a7784	d8ee96c17799ba3a01d5781cc3c6c089	EGAD00001001844
BRCA-FR	DN14063	EGAN00001349706	EGAX00001348137	EGAR00001384051	ls799_C5E6VANXX_4_1nf.ua.bam	EGAF00000938006	3d4f4827c9a0eccd979b4a7a7fc80d75	802ae4587f5439e1f3f93ed182b720b2	EGAD00001001844
BRCA-FR	DN14063	EGAN00001349706	EGAX00001348138	EGAR00001384052	ls814_C4PB0ANXX_3_1nf.ua.bam	EGAF00000938007	1d51b0aaa0a1693b79e45e6236163792	efe0411800574b17081d0df78191d858	EGAD00001001844
BRCA-FR	DN14063	EGAN00001349706	EGAX00001348142	EGAR00001384056	ls841_C5E5JANXX_6_1nf.ua.bam	EGAF00000938008	ce52e588d29dfa80b59be033c593a0c8	0004c955318ba2aa782db185453aeb0b	EGAD00001001844
BRCA-FR	DN14063	EGAN00001349706	EGAX00001348143	EGAR00001384057	ls863_C4PB0ANXX_6_1nf.ua.bam	EGAF00000938009	f7dbeb7a7ba71a04df38005b51e10264	baafa2891cb305a05a5c29ac2dc06403	EGAD00001001844
BRCA-FR	DN14012	EGAN00001349690	EGAX00001347953	EGAR00001383867	ls1080_C5E68ANXX_7_13nf.ua.bam	EGAF00000929583	c1b93eb5684bd73133108f63f10ef07f	53bf6efe6c1724a9b1336953d6145191	EGAD00001001844
BRCA-FR	DN14012	EGAN00001349690	EGAX00001347952	EGAR00001383866	ls1078_C5E5JANXX_5_13nf.ua.bam	EGAF00000929582	d856ac84658c0baa2b593283aeda7ece	0c408f823fc2140f870573dcdfe84d09	EGAD00001001844
BRCA-FR	DN14011	EGAN00001349692	EGAX00001347944	EGAR00001383858	ls934_C5E5AANXX_5_10nf.ua.bam	EGAF00000929581	7948fb93af04a56572ecdb5242f14cfc	4611f4b597c8313d53d5d1336eab9a4a	EGAD00001001844
