project_code	submitter_sample_id	ega_sample_id	ega_experiment_id	ega_run_id	file_name	ega_file_id	encrypted_file_md5sum	file_md5sum	dataset_id
BRCA-UK	PD4125b	EGAN00001000939	EGAX00001029621	EGAR00001029845	5132_8.bam.gpg	EGAF00000064369	8af53ef971665ba766538b720ca02eff	7454118b21e544283970cc608123e317	EGAD00001000133,EGAD00001000110
BRCA-UK	PD4125b	EGAN00001000939	EGAX00001029620	EGAR00001029844	5132_7.bam.gpg	EGAF00000064368	aba078c3b82dbb733d3a345929bd171e	73e142e83524b5ffa27227e6e32cbe53	EGAD00001000133,EGAD00001000110
BRCA-UK	PD4118b	EGAN00001000932	EGAX00001029395	EGAR00001029619	5100_1.bam.gpg	EGAF00000064363	8e0735572680968753a6fd7ba0d52724	7bd6ce73bde632b9d0b64c4c08082274	EGAD00001000133,EGAD00001000110
BRCA-UK	PD4601b	EGAN00001036536	EGAX00001029735	EGAR00001029959	6039_5#1.bam.gpg	EGAF00000064361	cf35a95bf66be86cde0c4b9356829d41	51d8c8409d8eb6f22e4914fbb0c36d1d	EGAD00001000133,EGAD00001000110
BRCA-UK	PD4120b	EGAN00001000934	EGAX00001029400	EGAR00001029624	5100_6.bam.gpg	EGAF00000064360	fe412bb52838973bd4f132c8992630b3	03bb877fbf02f881d2bb602ccff7e51c	EGAD00001000133,EGAD00001000110
BRCA-UK	PD4087a	EGAN00001000858	EGAX00001029622	EGAR00001029846	5133_3.bam.gpg	EGAF00000064367	6e6a35656eec76be78903eac3d69f6c7	926a6bde65e0a6c5ee3dc70cd25737fa	EGAD00001000133,EGAD00001000110
BRCA-UK	PD4087a	EGAN00001000858	EGAX00001029258	EGAR00001029482	4504_5.bam.gpg	EGAF00000064366	d3130e1af5e54169648c6e6976c2f12b	f4a3f9bee3a1429ad6f27c037965aef6	EGAD00001000133,EGAD00001000110
BRCA-UK	PD4087a	EGAN00001000858	EGAX00001029259	EGAR00001029483	4504_6.bam.gpg	EGAF00000064365	10c022c0f6aa17d05a1496793e785ff1	3bc12c9b7dd03cd2f7d3e2c9a572743b	EGAD00001000133,EGAD00001000110
BRCA-UK	PD4118b	EGAN00001000932	EGAX00001029396	EGAR00001029620	5100_2.bam.gpg	EGAF00000064364	665fd05ec8fff19c1032d4c808d04494	ba7cdc18e578a9b687b605a92fb3a9e5	EGAD00001000133,EGAD00001000110
BRCA-UK	PD3996a	EGAN00001000703	EGAX00001012913	EGAR00001013256	4084_2.bam.gpg	EGAF00000073259	d13f811002d59e83d6d13aac802e069b	136fcf0c636dfb479ad387980132a55f	EGAD00001000133
BRCA-UK	PD3996a	EGAN00001000703	EGAX00001012967	EGAR00001013310	4101_5.bam.gpg	EGAF00000073258	7b810baacb99ed7af770c3861aee4cc6	2216cb2a94fe1674560ba25192c2c508	EGAD00001000133
BRCA-UK	PD3998b	EGAN00001000699	EGAX00001012973	EGAR00001013316	4107_3.bam.gpg	EGAF00000073253	c10850b24427f228856c35ec5c98ad82	1395e5422b1c44082e9e00cc61fab630	EGAD00001000133
BRCA-UK	PD3998b	EGAN00001000699	EGAX00001012972	EGAR00001013315	4107_2.bam.gpg	EGAF00000073252	fc8c76d3461763f4b8dca1c14141f4de	dba8b0018796012e2cdbf2b42aca3328	EGAD00001000133
BRCA-UK	PD4004b	EGAN00001000718	EGAX00001012991	EGAR00001013334	4141_6.bam.gpg	EGAF00000073251	7861f7e008d3b2a4258bd320f667debd	57bcb1470f48210397b6b75333800a47	EGAD00001000133
BRCA-UK	PD4004b	EGAN00001000718	EGAX00001012993	EGAR00001013336	4141_8.bam.gpg	EGAF00000073250	012fccaea47be28da3fb89dacf135cfa	6a51f63fd83fdab995baec0a902ae8a5	EGAD00001000133
BRCA-UK	PD3849b	EGAN00001000674	EGAX00001012899	EGAR00001013242	4080_1.bam.gpg	EGAF00000073257	008c7ed958c4881ff48d2e3d36289f88	7d2218ae539888f002ab42f25edece91	EGAD00001000133
