project_code	submitter_sample_id	ega_sample_id	ega_experiment_id	ega_run_id	file_name	ega_file_id	encrypted_file_md5sum	file_md5sum	dataset_id
LINC-JP	HCC29T	EGAN00001085984	EGAX00001108020	EGAR00001111744	120530_SN282_0345_AD1261ACXX/HCC29T_ATCACG_L008_R2_002.fastq.bz2	EGAF00000204532	4e3bc7867bcde21dccfbc0341a029a2a	5db3899b161f11310602776191cf420c	EGAD00001000446
LINC-JP	HCC29T	EGAN00001085984	EGAX00001108021	EGAR00001111745	120530_SN282_0345_AD1261ACXX/HCC29T_ATCACG_L008_R1_003.fastq.bz2	EGAF00000204533	30d4d62a9e3618e3bf217ba9207fb93e	f4b9de049f4d7c2aaf025587808bea63	EGAD00001000446
LINC-JP	HCC29T	EGAN00001085984	EGAX00001108019	EGAR00001111743	120530_SN282_0345_AD1261ACXX/HCC29T_ATCACG_L008_R2_001.fastq.bz2	EGAF00000204530	6346efce2316ed561d5a6bd70b9606aa	97cf15379dd3c2e51dd6e9161aaa9b9b	EGAD00001000446
LINC-JP	HCC29T	EGAN00001085984	EGAX00001108020	EGAR00001111744	120530_SN282_0345_AD1261ACXX/HCC29T_ATCACG_L008_R1_002.fastq.bz2	EGAF00000204531	48b1fd49cbe3c0eda985a44c2861466a	bd453fce9e52b3460859b33890add755	EGAD00001000446
LINC-JP	HCC29T	EGAN00001085984	EGAX00001108021	EGAR00001111745	120530_SN282_0345_AD1261ACXX/HCC29T_ATCACG_L008_R2_003.fastq.bz2	EGAF00000204534	e5d82eb832b2a53ea01e4aa48fe26b43	14697dcc8b48a25d030690dc445e9f30	EGAD00001000446
LINC-JP	HCC29T	EGAN00001085984	EGAX00001108022	EGAR00001111746	120530_SN282_0345_AD1261ACXX/HCC29T_ATCACG_L008_R1_004.fastq.bz2	EGAF00000204535	de9348a5caa38d31224213cde956d9c4	c0ad6f590b856aeb72342865fc58a262	EGAD00001000446
LINC-JP	HX15T	EGAN00001264964	EGAX00001271214	EGAR00001298371	HCC_WGS/HX15T/HX15T_100727GA3_3_unaligned.bam	EGAF00000767882	642f09ce439ff0b13de06a345a8cc1fd	6aeda9e13312b087d7b482fa3b11119c	EGAD00001001262
LINC-JP	HX15T	EGAN00001264964	EGAX00001271214	EGAR00001298372	HCC_WGS/HX15T/HX15T_100727GA3_4_unaligned.bam	EGAF00000767883	37d325861ddfea30513e724821bf4c97	43c6d64347c9fa8c58a18b9f493f73f1	EGAD00001001262
LINC-JP	HX15T	EGAN00001264964	EGAX00001271214	EGAR00001298369	HCC_WGS/HX15T/HX15T_100727GA3_1_unaligned.bam	EGAF00000767880	1b2a8bd4ac3c38df6325388f7a2c844d	d16b6cc51bf9d56dd7bc8fecf9b1d76b	EGAD00001001262
LINC-JP	HX15T	EGAN00001264964	EGAX00001271214	EGAR00001298370	HCC_WGS/HX15T/HX15T_100727GA3_2_unaligned.bam	EGAF00000767881	36109eee8b0cf69eabe0c46063f833f8	bac9c33508ea7b0e74620c758f03ad7b	EGAD00001001262
LINC-JP	HX15T	EGAN00001264964	EGAX00001271214	EGAR00001298375	HCC_WGS/HX15T/HX15T_100727GA3_7_unaligned.bam	EGAF00000767886	4bab0eab273da19e83e82c4936cd4481	9f9a54272756f65e6610012a8b071b1b	EGAD00001001262
LINC-JP	HX15T	EGAN00001264964	EGAX00001271214	EGAR00001298376	HCC_WGS/HX15T/HX15T_100727GA3_8_unaligned.bam	EGAF00000767887	16be2cfcc4c0a579d9cf3a9a5369b76d	009a68b5423f51b659ab04224f4f4981	EGAD00001001262
LINC-JP	HX15T	EGAN00001264964	EGAX00001271214	EGAR00001298373	HCC_WGS/HX15T/HX15T_100727GA3_5_unaligned.bam	EGAF00000767884	6864fded4674a83519822a5389e27fb1	e8800adc7237f0d1e3709397c738478f	EGAD00001001262
LINC-JP	HX15T	EGAN00001264964	EGAX00001271214	EGAR00001298374	HCC_WGS/HX15T/HX15T_100727GA3_6_unaligned.bam	EGAF00000767885	9565d259ae2ec2cf4ae0137ff6cdf71a	11339a719cf32cc242dc237860cfc47c	EGAD00001001262
LINC-JP	HX15T	EGAN00001264964	EGAX00001271215	EGAR00001298377	HCC_WGS/HX15T/HX15T_101109GA3_1_unaligned.bam	EGAF00000767888	5c353af1d92a33fd89d0f0869d4af86b	d3c8efc22771202eee954fed5626edd0	EGAD00001001262
LINC-JP	HX15T	EGAN00001264964	EGAX00001271215	EGAR00001298378	HCC_WGS/HX15T/HX15T_110117GA1_1_unaligned.bam	EGAF00000767889	54c38e569aaa186b24bcd50822b74ccb	5f4c8a2c1f67fbdd9cf0d0750cc672ec	EGAD00001001262
LINC-JP	HCC15T	EGAN00001085972	EGAX00001106799	EGAR00001110523	120314_SN545_0207_BD0B3TACXX/HCC15T_TTAGGC_L003_R2_016.fastq.bz2	EGAF00000202090	4cea573e0b1ddaacabf6b984d68bcb24	3a8912f1da4d87355f7ed25c14ea32b5	EGAD00001000446
