project_code	submitter_sample_id	ega_sample_id	ega_experiment_id	ega_run_id	file_name	ega_file_id	encrypted_file_md5sum	file_md5sum	dataset_id
PACA-AU	8029770	EGAN00001092037	EGAX00001083770	EGAR00001087334	20130102/S0436_20111111_1_FragPEBC.nopd.bcB16_01.bam.gpg	EGAF00000160795	7f074c96ef02db48c81964dbd2a3540b	7dac6fa9a67e1e9df8f96234e8ed19b9	EGAD00001000323
PACA-AU	8048243	EGAN00001092106	EGAX00001083769	EGAR00001087333	20130102/120702_SN7001240_0057_AD12U1ACXX.lane_6.nobc.bam.gpg	EGAF00000160794	9ce6a4643e0598c76cb9193c141eee5f	c0fd12727cea5c0d75bde7a5ae6b3f1c	EGAD00001000371,EGAD00001000323
PACA-AU	8032817	EGAN00001092032	EGAX00001083771	EGAR00001087335	20130102/120925_SN7001238_0079_AC15E5ACXX.lane_3.nobc.bam.gpg	EGAF00000160796	5f77cd29a4b7cead7271dc3dfe3962e9	87c13b9e60e5b91218aad8306e15799b	EGAD00001000323
PACA-AU	8031175	EGAN00001092074	EGAX00001083765	EGAR00001087329	20130102/S0416_20110630_1_FragPEBC.nopd.bcB16_16.bam.gpg	EGAF00000160790	2f04d86bbc1267c83cd4b515d6abca18	20f372b60d99dfd4b55e204e646ed27b	EGAD00001000323
PACA-AU	8012874	EGAN00001092015	EGAX00001083768	EGAR00001087332	20130102/120727_SN7001243_0099_BC0VTJACXX.lane_7.nobc.bam.gpg	EGAF00000160793	56a79003ea45ad5d2e0bd7fa57d355ac	f7abf27dcacf3864fbf9805e85726e08	EGAD00001000371,EGAD00001000323
PACA-AU	8016492	EGAN00001038055	EGAX00001083767	EGAR00001087331	20130102/120727_SN7001240_0062_BC0VLYACXX.lane_7.nobc.bam.gpg	EGAF00000160792	47f9b5b69c77ab78c84edd8bf8140f00	1604d266b3235564ac961fa642adc9db	EGAD00001000371,EGAD00001000323
PACA-AU	8050103	EGAN00001092014	EGAX00001083774	EGAR00001087338	20130102/120917_SN7001243_0116_BD1AFAACXX.lane_1.nobc.bam.gpg	EGAF00000160799	797e099e31d44d5e44ded20ee63102a2	0c662668b2cb31eb6335d7f758a5756e	EGAD00001000371,EGAD00001000323
PACA-AU	8031568	EGAN00001092089	EGAX00001083773	EGAR00001087337	20130102/S0416_20110630_2_FragPEBC.nopd.bcB16_02.bam.gpg	EGAF00000160798	3900f144ddde1c1cba92726dcba201dc	27d8d95ee0376e3a290bc750af4fef85	EGAD00001000323
PACA-AU	8014205	EGAN00001038115	EGAX00001083532	EGAR00001087096	20130102/120628_SN7001238_0061_AC0VRMACXX.lane_8.nobc.bam.gpg	EGAF00000160557	30cbf379dcd144cfb47db2e0fd2743c8	312c079f4491489174b6d60e4fdf104f	EGAD00001000371,EGAD00001000323
PACA-AU	8012436	EGAN00001038166	EGAX00001083531	EGAR00001087095	20130102/S0428_20091218_1_Frag.nopd.nobc.bam.gpg	EGAF00000160556	26f19cd217ccfac73b5d88127395f903	d19ad70e342420a314fa7cd3e37a9ae4	EGAD00001000323
PACA-AU	8032817	EGAN00001092032	EGAX00001083528	EGAR00001087092	20130102/121010_SN7001240_0081_AC14GRACXX.lane_4.nobc.bam.gpg	EGAF00000160553	a2e173525922fd9634549a5f98f590e0	e43dcfd35f002fd1a1b42f314d7683b7	EGAD00001000323
PACA-AU	8050103	EGAN00001092014	EGAX00001083527	EGAR00001087091	20130102/120917_SN7001243_0116_BD1AFAACXX.lane_5.nobc.bam.gpg	EGAF00000160552	81c95e4deba9da797b070141a0a24247	a407c4ed8cb29212f60b292772b2370a	EGAD00001000371,EGAD00001000323
PACA-AU	8032823	EGAN00001092031	EGAX00001083525	EGAR00001087089	20130102/120925_SN7001238_0079_AC15E5ACXX.lane_8.nobc.bam.gpg	EGAF00000160550	f9f6ad43df506fa87c03dff842d27eea	472718105ec317bc982a894b8f4f19bd	EGAD00001000323
PACA-AU	ICGC-ABMP-20090811-27-ND	EGAN00001092112	EGAX00001083534	EGAR00001087098	20130102/S0416_20091109_1_Frag.nopd.nobc.bam.gpg	EGAF00000160559	6b63cee0923fa99b50e8791b7417ef29	d0aae99184d416b50eb9ba1e379a5c3a	EGAD00001000323
PACA-AU	8031121	EGAN00001038034	EGAX00001083533	EGAR00001087097	20130102/120817_SN7001240_0067_AD12VMACXX.lane_3.nobc.bam.gpg	EGAF00000160558	9e1bd7bf2c84397a339df601e0fcb5aa	4cc164487efaab357c471a751fc399cd	EGAD00001000323
PACA-AU	8032823	EGAN00001092031	EGAX00001083867	EGAR00001087431	20130102/120925_SN7001238_0079_AC15E5ACXX.lane_6.nobc.bam.gpg	EGAF00000160892	07e6ec6c2391c30683c50f3c0b54bb8d	7df5c4cee69aaa0248edaa610fdacc91	EGAD00001000323
