project_code	submitter_sample_id	ega_sample_id	ega_experiment_id	ega_run_id	file_name	ega_file_id	encrypted_file_md5sum	file_md5sum	dataset_id
PRAD-UK	0075_CRUK_PC_0075_Blood_DNA	EGAN00001195706	EGAX00001244810	EGAR00001270627	180218_icgc.bam.gpg	EGAF00000695916	160248f766ad2e0a289648ca73f6bf17	517776fcbb6268a019806dfc967eae02	EGAD00001001116
PRAD-UK	0076_CRUK_PC_0076_Blood_DNA	EGAN00001250320	EGAX00001244807	EGAR00001270628	180220_icgc.bam.gpg	EGAF00000695917	e94f7604764654d8352cc04c7304f295	1e242dca9491a55c4a11b465143e4bb8	EGAD00001001116
PRAD-UK	0062_CRUK_PC_0062_T1_DNA	EGAN00001250309	EGAX00001244802	EGAR00001270625	180193_icgc.bam.gpg	EGAF00000695914	426d51ac93e40f7484d2117d911763b1	b0d600776b78a2091404489bfc1114c7	EGAD00001001116
PRAD-UK	0063_CRUK_PC_0063_Blood_DNA	EGAN00001250312	EGAX00001244798	EGAR00001270626	180196_icgc.bam.gpg	EGAF00000695915	943e86915a84e5c1f30b74dfb2b56ee1	c48905b65b3c66b0d2057f80aed16f97	EGAD00001001116
PRAD-UK	0047_CRUK_PC_0047_T1_DNA	EGAN00001250283	EGAX00001244813	EGAR00001270623	180165_icgc.bam.gpg	EGAF00000695912	7ba8ab74b67c2a2969343883337b2742	6d57dbb5a7bada0966839329bd5bfad5	EGAD00001001116
PRAD-UK	0057_CRUK_PC_0057_T1_DNA	EGAN00001250299	EGAX00001244800	EGAR00001270624	180183_icgc.bam.gpg	EGAF00000695913	2a614582401b6ab5291d805abb4732ca	07e782c6692c30ec3341bba7916c93e0	EGAD00001001116
PRAD-UK	0043_CRUK_PC_0043_Blood_DNA	EGAN00001250276	EGAX00001244801	EGAR00001270621	180158_icgc.bam.gpg	EGAF00000695910	9727b1a823ac335877dc020d63f49a59	2f653ced89cf34e61a259c9d9d79a5e2	EGAD00001001116
PRAD-UK	0040_CRUK_PC_0040_Blood_DNA	EGAN00001250270	EGAX00001246802	EGAR00001272637	180152_icgc.bam.gpg	EGAF00000697768	2916b67c6e454bd4e3ff9aab5c6073ae	7e15c647d5577846d2074ee8e15a7133	EGAD00001001116
PRAD-UK	0040_CRUK_PC_0040_T1_DNA	EGAN00001250269	EGAX00001246798	EGAR00001272636	180151_icgc.bam.gpg	EGAF00000697767	3521d1b806f6209a1bb9388c53789e97	af0973bab800004b867538052eb0a503	EGAD00001001116
PRAD-UK	0037_CRUK_PC_0037_T1_DNA	EGAN00001250263	EGAX00001246794	EGAR00001272635	180145_icgc.bam.gpg	EGAF00000697766	6e29ef292dacc35bac972f15442aa771	adec996d2806b26c419d5f97f365af8a	EGAD00001001116
PRAD-UK	0036_CRUK_PC_0036_T1_DNA	EGAN00001250261	EGAX00001246797	EGAR00001272634	180143_icgc.bam.gpg	EGAF00000697765	d482e4fd39a864121c3bd19808306b77	907783360b463ef1733fd5d4932eb56b	EGAD00001001116
PRAD-UK	0035_CRUK_PC_0035_Blood_DNA	EGAN00001250260	EGAX00001246822	EGAR00001272633	180142_icgc.bam.gpg	EGAF00000697764	4224917ac467c36d72cc480ccc2bf19e	42669aa02bb73d4f2517611fb5234456	EGAD00001001116
PRAD-UK	0033_CRUK_PC_0033_Blood_DNA	EGAN00001250256	EGAX00001246805	EGAR00001272632	180138_icgc.bam.gpg	EGAF00000697763	73a99ba27fc736533baf1c42649c32d1	c91881d0214274cf05db70247592317b	EGAD00001001116
PRAD-UK	0032_CRUK_PC_0032_T1_DNA	EGAN00001250253	EGAX00001246812	EGAR00001272631	180135_icgc.bam.gpg	EGAF00000697762	e6b9512683c76718c4f5963a64f838fd	30143c66fd5d11ad6668fe0d6189e640	EGAD00001001116
