project_code	submitter_sample_id	ega_sample_id	ega_experiment_id	ega_run_id	file_name	ega_file_id	encrypted_file_md5sum	file_md5sum	dataset_id
BOCA-FR	IC105T_WGS	EGAN00001467838	EGAX00001463451	EGAR00001501077	IC105T_RRBS.fastq.gz	EGAF00001416169	30458703735541c38b095f49e3e9af57	e50cd77d7486887c61e079d0f89b4096	EGAD00001003133
BOCA-FR	IC1057T_WGS	EGAN00001467837	EGAX00001463450	EGAR00001501076	IC1057T_RRBS.fastq.gz	EGAF00001416168	472a0f00524e68b4ea42f6b8dec5d520	ec144f7e45cb3ba84ec5480606ff1f30	EGAD00001003133
BOCA-FR	IC076T_WGS	EGAN00001467830	EGAX00001463443	EGAR00001501069	IC076T_RRBS.fastq.gz	EGAF00001416161	ab1a665a1aa9785efef4a7b5816298b5	2d0223974d3f8fa238ed24e1ae9e3ac3	EGAD00001003133
BOCA-FR	IC071T_WGS	EGAN00001467829	EGAX00001463442	EGAR00001501068	IC071T_RRBS.fastq.gz	EGAF00001416160	71c12cadd00d7ecb1eb61b3361a0817e	2818fa1d615db1f720d14f679db6c6a9	EGAD00001003133
BOCA-FR	IC082T_WGS	EGAN00001467832	EGAX00001463445	EGAR00001501071	IC082T_RRBS.fastq.gz	EGAF00001416163	fbceaf213844fca00e1f509d02525f17	686094981deab1679a2e6447ee3b3bc8	EGAD00001003133
BOCA-FR	IC080T_WGS	EGAN00001467831	EGAX00001463444	EGAR00001501070	IC080T_RRBS.fastq.gz	EGAF00001416162	bb725d6be3244239006d46bcf1bc6b50	96545ffd70f8bfa7e561ba5da734f09a	EGAD00001003133
BOCA-FR	IC092T_WGS	EGAN00001467834	EGAX00001463447	EGAR00001501073	IC092T_RRBS.fastq.gz	EGAF00001416165	cca5e469edb6e24fcc5d6d4500ef1628	d530d86befd7c8eb25e3b677f7809ac2	EGAD00001003133
BOCA-FR	IC086T_WGS	EGAN00001467833	EGAX00001463446	EGAR00001501072	IC086T_RRBS.fastq.gz	EGAF00001416164	59e806678c6b72b14452b9bd9cc56003	50622281565d0a3224b4c947bd7a600e	EGAD00001003133
BOCA-FR	IC096T_WGS	EGAN00001467836	EGAX00001463449	EGAR00001501075	IC096T_RRBS.fastq.gz	EGAF00001416167	642d3981f090d168d4142f2f1a365810	acfc8e28260186104d1f58782785f450	EGAD00001003133
BOCA-FR	IC093T_WGS	EGAN00001467835	EGAX00001463448	EGAR00001501074	IC093T_RRBS.fastq.gz	EGAF00001416166	1339fb7988f2e9f3c8adc254c482d53d	de269b9af2de730be52296098fd00fff	EGAD00001003133
BOCA-FR	IC130T_WGS	EGAN00001467845	EGAX00001463458	EGAR00001501084	IC130T_RRBS.fastq.gz	EGAF00001416176	5c8ba5c144aaaea3a849db0d01666e58	2b6b480182c74ec63f12c63b6384ecf1	EGAD00001003133
BOCA-FR	IC136T_WGS	EGAN00001467846	EGAX00001463459	EGAR00001501085	IC136T_RRBS.fastq.gz	EGAF00001416177	60b3c61657698dc63a3ce3167427d125	025fc6ef57d6985b7a268d08615b95d1	EGAD00001003133
BOCA-FR	IC116T_WGS	EGAN00001467843	EGAX00001463456	EGAR00001501082	IC116T_RRBS.fastq.gz	EGAF00001416174	3fb254b566914fc13e6aeb0cb7942c5a	883889a96b8aec06372f4cfb849d0717	EGAD00001003133
BOCA-FR	IC128T_WGS	EGAN00001467844	EGAX00001463457	EGAR00001501083	IC128T_RRBS.fastq.gz	EGAF00001416175	81c0de6bd31a76e3cb07c9d1b44ddf2d	ba2f37a6ae6918333264a896611b9139	EGAD00001003133
BOCA-FR	IC112T_WGS	EGAN00001467841	EGAX00001463454	EGAR00001501080	IC112T_RRBS.fastq.gz	EGAF00001416172	b2015f796594c28df0f691b4cbd64d26	4526bded932708594e81bdfdb35a94c1	EGAD00001003133
BOCA-FR	IC114T_WGS	EGAN00001467842	EGAX00001463455	EGAR00001501081	IC114T_RRBS.fastq.gz	EGAF00001416173	2f36d03ecbf6975bb0a291083526564a	ace954e910d205548bb2edc5232672ed	EGAD00001003133
BOCA-FR	IC106T_WGS	EGAN00001467839	EGAX00001463452	EGAR00001501078	IC106T_RRBS.fastq.gz	EGAF00001416170	a8d19ac7024517c6f0f69e17eb323212	bbcc5cc702084d76d6d48f55ffbd8192	EGAD00001003133
BOCA-FR	IC111T_WGS	EGAN00001467840	EGAX00001463453	EGAR00001501079	IC111T_RRBS.fastq.gz	EGAF00001416171	1bd23d7100bc74f2b879d5e8f3d812f7	78be2b059b1d92e11d7ab1636a1e2714	EGAD00001003133
