project_code	submitter_sample_id	ega_sample_id	ega_analysis_id	file_name	ega_file_id	encrypted_file_md5sum	file_md5sum	dataset_id
CLLE-ES	1565-01-03TD	EGAN00001284612	EGAZ00001092649	exomes/1565TD.bam.gpg	EGAF00000865482	e5eff4f4949f9f9139be28dd439b0d2d	e53a1b44ea288870a80b0679fcce63ef	EGAD00001001464
CLLE-ES	015-0039-01ND	EGAN00001284323	EGAZ00001092282	exomes/015ND.bam.gpg	EGAF00000865234	eabe281efb1a44247ca9aee931afd16c	98ef3ff0e1b5a30822eb340b1c82dae0	EGAD00001001464
CLLE-ES	015-08-01TD	EGAN00001284324	EGAZ00001092283	exomes/015TD.bam.gpg	EGAF00000865235	94f87c2894214f508e39d241fe7859ab	abd26f91acdaa7a3b6143014aa41c1d2	EGAD00001001464
CLLE-ES	1444-01-02TD	EGAN00001284559	EGAZ00001092585	exomes/1444TD.bam.gpg	EGAF00000865339	9b9b6d4e35c3835dd84b8eb6d3428f06	0ecadd614388b6ffea608edfff0743fd	EGAD00001001464
CLLE-ES	1054-01-7ND	EGAN00001284353	EGAZ00001092368	exomes/1054ND.bam.gpg	EGAF00000865231	396ef4dfdeff3fa2d4087030acc905ef	01a22ed0abcfdb76b2a83e5bcdf8b502	EGAD00001001464
CLLE-ES	1328-01-01TD	EGAN00001284517	EGAZ00001092539	exomes/1328TD.bam.gpg	EGAF00000865337	be6eb2a992e998e45690ad4e84e23921	c559fa9d975b8419a998276a8b8d17d0	EGAD00001001464
CLLE-ES	1328-01-05ND	EGAN00001284518	EGAZ00001092538	exomes/1328ND.bam.gpg	EGAF00000865336	ecddf70b785fd3b5461929e9b6f13cb0	55e69364a1ef0e2661ecd4c5529bca05	EGAD00001001464
CLLE-ES	1327-01-03TD	EGAN00001284516	EGAZ00001092537	exomes/1327TD.bam.gpg	EGAF00000865335	2d6c938cfbb0e4e174a2e6a7101e4111	f2d4c32eed9f7274151f1db2801a3a72	EGAD00001001464
CLLE-ES	1327-01-01ND	EGAN00001284515	EGAZ00001092536	exomes/1327ND.bam.gpg	EGAF00000865334	52e833874da746acf03f734b6843d249	9d3fb2a56e6f299ea90c4b428b678a7b	EGAD00001001464
CLLE-ES	1326-01-03TD	EGAN00001284514	EGAZ00001092535	exomes/1326TD.bam.gpg	EGAF00000865333	05ea2e78472af604bfbd899a1b075102	25e9b5e698e1e484becd8e346f75fc58	EGAD00001001464
CLLE-ES	1326-01-01ND	EGAN00001284513	EGAZ00001092534	exomes/1326ND.bam.gpg	EGAF00000865332	6aad6e18ec2eedb12e64218fa1192911	d37646f6c24201a6225a1faa20668614	EGAD00001001464
CLLE-ES	011-0032-02ND	EGAN00001284322	EGAZ00001092276	exomes/011ND.bam.gpg	EGAF00000865238	8b6dfadec5a98b47345d37330b8e5127	30d83220918dd28031f80b877d8e0d30	EGAD00001001464
CLLE-ES	1226-01-01ND	EGAN00001284445	EGAZ00001092464	exomes/1226ND.bam.gpg	EGAF00000865330	e70696c5a9149349e68bcec2df8fefa3	a5d777eda748b697b0c4931b12b3be0c	EGAD00001001464
CLLE-ES	384-02-01TD	EGAN00001284720	EGAZ00001092851	exomes/384TD.bam.gpg	EGAF00000865728	3f9c6fff8dd47816bcb3633168bc44fa	40b38eb39cff09c94dac57614c52206e	EGAD00001001464
CLLE-ES	385-01-1ND	EGAN00001284721	EGAZ00001092852	exomes/385ND.bam.gpg	EGAF00000865729	ee462ccbb0966908e20e241227627f37	f4f249f3d60758bec6fefd63799f0da7	EGAD00001001464
CLLE-ES	350-01-1TD	EGAN00001284692	EGAZ00001092821	exomes/350TD.bam.gpg	EGAF00000865898	88a70882d7e85d523a2bcc66b0ddcd35	75b7d259bc75bafe85ee975280d2ed93	EGAD00001001464
CLLE-ES	351-01-1ND	EGAN00001284693	EGAZ00001092822	exomes/351ND.bam.gpg	EGAF00000865899	0f98d0b3a02950b5c542e87081ff44ae	d703474b7710717c2a96bcca3a9157aa	EGAD00001001464
CLLE-ES	362-01-4TD	EGAN00001284704	EGAZ00001092833	exomes/362TD.bam.gpg	EGAF00000865682	9e10c4680500cf7c6706e9cb578d73aa	c9aa493a75261915e8afefed1569332b	EGAD00001001464
CLLE-ES	339-01-2ND	EGAN00001284683	EGAZ00001092812	exomes/339ND.bam.gpg	EGAF00000865892	65f97449cbd9ffb54b76fdfe6736ed84	ba4f53c7ffeb605ce08bee0943135446	EGAD00001001464
CLLE-ES	339-01-4TD	EGAN00001284684	EGAZ00001092813	exomes/339TD.bam.gpg	EGAF00000865893	302278cefcda2d4d32a683cfde3b3974	aa74d53d1c72f20e7e304ff324a765fe	EGAD00001001464
CLLE-ES	338-01-2ND	EGAN00001284681	EGAZ00001092810	exomes/338ND.bam.gpg	EGAF00000865890	0d8414e2fab970c86c19c2f9f6be953f	fadf63a5de0750ef8f38bd702335016d	EGAD00001001464
CLLE-ES	338-01-5TD	EGAN00001284682	EGAZ00001092811	exomes/338TD.bam.gpg	EGAF00000865891	3a0be3724409926ba9385e7a817e72c7	d901862dc2ebaff5104447850f9bce02	EGAD00001001464
CLLE-ES	345-01-3TD	EGAN00001284689	EGAZ00001092819	exomes/345TD.bam.gpg	EGAF00000865896	c67c554f85fe20c6deb865ddf7e2bab2	d950a918f197c4bf5bb6904f968e63a3	EGAD00001001464
