project_code	submitter_sample_id	ega_sample_id	ega_experiment_id	ega_run_id	file_name	ega_file_id	encrypted_file_md5sum	file_md5sum	dataset_id
CMDI-UK	PD5780a	EGAN00001039819	EGAX00001076221	EGAR00001079766	7567_1#70.bam.gpg	EGAF00000148278	5921be032707f7ed0f385261ef2f1831	9d469dffe0f354bbc7897ff7268ccbe2	EGAD00001000283
CMDI-UK	PD5781a	EGAN00001039820	EGAX00001076222	EGAR00001079767	7567_1#71.bam.gpg	EGAF00000148279	92b68e694a9180ce8bd942d29b3c8492	4a4b5c3a5a79869ebd0733c3137e4f14	EGAD00001000283
CMDI-UK	PD5788a	EGAN00001039827	EGAX00001075469	EGAR00001079014	7549_1#78.bam.gpg	EGAF00000147526	2561f3442dbbca54d81bf0d61b9dbff0	75e4429ab1c3a02c4d10f939bc3c0494	EGAD00001000283
CMDI-UK	PD6140a	EGAN00001039934	EGAX00001075576	EGAR00001079121	7549_2#91.bam.gpg	EGAF00000147633	b38d8ad0f5b39cd817018280723ced36	842c64ad6d78507e4b9d90486522491c	EGAD00001000283
CMDI-UK	PD6142a	EGAN00001039936	EGAX00001075578	EGAR00001079123	7549_2#93.bam.gpg	EGAF00000147635	a274c76097d84307e8911c3cde77e909	8a6b8324ac909ba829f45b4f7f4c468e	EGAD00001000283
CMDI-UK	PD6141a	EGAN00001039935	EGAX00001075577	EGAR00001079122	7549_2#92.bam.gpg	EGAF00000147634	d8156c76a61ee8d25bb7b5b156d1d9de	643f68624d3633c9e18ba3c7a2b37d61	EGAD00001000283
CMDI-UK	PD6144a	EGAN00001039938	EGAX00001075580	EGAR00001079125	7549_2#95.bam.gpg	EGAF00000147637	ae82df7c031a4b54f4b737e25a03312c	a81508de0f5883cff4ae639903515457	EGAD00001000283
CMDI-UK	PD6498a	EGAN00001039394	EGAX00001075796	EGAR00001079341	7549_5#25.bam.gpg	EGAF00000147853	9d3bd4b5a7f7a1a7c2578d10b53cbcbf	2bb24a895acb93b3fa0df31c25406c23	EGAD00001000283
CMDI-UK	PD6497a	EGAN00001039393	EGAX00001075795	EGAR00001079340	7549_5#24.bam.gpg	EGAF00000147852	ea1ca7ade1aee20a91c4db819a0cfe6b	6ed1d71bd841ea9e6d031b56e3976b85	EGAD00001000283
CMDI-UK	PD6500a	EGAN00001039396	EGAX00001075798	EGAR00001079343	7549_5#27.bam.gpg	EGAF00000147855	e1bd3cd2e12e42ec756158faabd819da	d2f856658d801e1229bbe24cf1c55a67	EGAD00001000283
CMDI-UK	PD6501a	EGAN00001039397	EGAX00001075799	EGAR00001079344	7549_5#28.bam.gpg	EGAF00000147856	e550b557870e091d97913cb3dc2c819e	641c4206581dfc11bc3949c38b13d3e3	EGAD00001000283
CMDI-UK	PD6504a	EGAN00001039400	EGAX00001075802	EGAR00001079347	7549_5#31.bam.gpg	EGAF00000147859	904c025b5dcd83c415ea93a8ce919ee7	81eed73f7e453fe3664ced02270d41b3	EGAD00001000283
CMDI-UK	PD5787a	EGAN00001039826	EGAX00001075468	EGAR00001079013	7549_1#77.bam.gpg	EGAF00000147525	5265f9b490d857dfd8cd233c4966a981	d1411f30382bfe39040b50da9f998ff8	EGAD00001000283
CMDI-UK	PD6540a	EGAN00001039436	EGAX00001076598	EGAR00001080143	7567_5#67.bam.gpg	EGAF00000148655	343850d1d121391e7f3fbd70b60a71c0	9917d0e0a15de197d486f38a3a435417	EGAD00001000283
CMDI-UK	PD6501a	EGAN00001039397	EGAX00001076559	EGAR00001080104	7567_5#28.bam.gpg	EGAF00000148616	ed036e3177c86562bb7fd4ae55f23bdb	70993886578d7c381c4130619b1459f6	EGAD00001000283
CMDI-UK	PD6259a	EGAN00001040050	EGAX00001076452	EGAR00001079997	7567_4#16.bam.gpg	EGAF00000148509	9cd5a859f6c09666a2865db484d6f5e8	12245ca4099a094cea659521f9b4b8b9	EGAD00001000283
