project_code	submitter_sample_id	ega_sample_id	ega_experiment_id	ega_run_id	file_name	ega_file_id	encrypted_file_md5sum	file_md5sum	dataset_id
ESAD-UK	LP6007514-DNA_A01	EGAN00001201483	EGAX00001188445	EGAR00001193667	LP6007514-DNA_A01.bam	EGAF00000530879	359982f2cc7ca94f69de8599bfd2decd	c229ca20944dd06443dfb344fd74c6b1	EGAD00001003292,EGAD00001002241,EGAD00001001960
ESAD-UK	LP6005934-DNA_G01	EGAN00001246614	EGAX00001238233	EGAR00001253333	LP6005934-DNA_G01.bam	EGAF00000661630	6d337bdd6e3cbbb93454c07093c5458c	4c61fc8ea693c1a8aaf3b668fa7b7af8	EGAD00001002218,EGAD00001001457,EGAD00001003292
ESAD-UK	LP6005934-DNA_H01	EGAN00001246615	EGAX00001238234	EGAR00001253334	LP6005934-DNA_H01.bam	EGAF00000661631	10a7cc2bdd81d326afd66ae4baae34c8	1a6186773495fa1b30ec057e8f3319cf	EGAD00001001071,EGAD00001002218,EGAD00001001457,EGAD00001003292
ESAD-UK	LP6005934-DNA_F02	EGAN00001246621	EGAX00001238240	EGAR00001253340	LP6005934-DNA_F02.bam	EGAF00000661637	eb6fdd9421423a1d0a820e666f001df1	20e088fda38a51cee7a97fd4cf4fe022	EGAD00001001071,EGAD00001002218,EGAD00001001457,EGAD00001003292
ESAD-UK	LP6007590	EGAN00001192268	EGAX00001175414	EGAR00001180012	LP6007590.bam	EGAF00000501971	c48ec6f6ea4c3cc116f3fd80e2035dca	862d4e2907075f68b2090a7c77517956	EGAD00001001457,EGAD00001003292,EGAD00001001394,EGAD00001001071,EGAD00001002241,EGAD00001002218
ESAD-UK	LP6007569-DNA_A01	EGAN00001201522	EGAX00001188484	EGAR00001193706	LP6007569-DNA_A01.bam	EGAF00000530918	9fdecacbb1024e89b90cf89191c9ac2b	1615fd7f4c618d27d4e7558960571461	EGAD00001001071,EGAD00001002218,EGAD00001001457,EGAD00001003292
ESAD-UK	LP6007568-DNA_A01	EGAN00001201523	EGAX00001188485	EGAR00001193707	LP6007568-DNA_A01.bam	EGAF00000530919	b56a6709512a8b8ae519f19756af410d	cc372a8599b296538b1392d83b2a0c9b	EGAD00001003292,EGAD00001002241
ESAD-UK	LP6007530-DNA_A01	EGAN00001201516	EGAX00001188478	EGAR00001193700	LP6007530-DNA_A01.bam	EGAF00000530912	9c708735e6295e41dbea06ba0176393d	a4d7ade668f7cd69019b2dc682604c82	EGAD00001001071,EGAD00001002218,EGAD00001001457,EGAD00001003292
ESAD-UK	LP6007532-DNA_A01	EGAN00001201517	EGAX00001188479	EGAR00001193701	LP6007532-DNA_A01.bam	EGAF00000530913	f6ee341eb5107a20e36e75c29fc1b5aa	e0742e6f2e7d9c5e06665fcaa2fc79f7	EGAD00001002218,EGAD00001001457,EGAD00001003292
ESAD-UK	LP6007524-DNA_A01	EGAN00001201514	EGAX00001188476	EGAR00001193698	LP6007524-DNA_A01.bam	EGAF00000530910	383ef34d9b5e8a4f8b0b81e51df4eeff	048bf5ecf72ac6dc967a778d84e4bc9e	EGAD00001001071,EGAD00001002218,EGAD00001001457,EGAD00001003292
