project_code	submitter_sample_id	ega_sample_id	ega_experiment_id	ega_run_id	file_name	ega_file_id	encrypted_file_md5sum	file_md5sum	dataset_id
LIHM-FR	CHC1085N	EGAN00001236036	EGAX00001241086	EGAR00001266304	CHC1085N.sorted.bam	EGAF00000691109	569db524d911788124b10bf856b47c64	a2d2705811a915d19159fd99f7837066	EGAD00001001096
LIHM-FR	CHC1083T	EGAN00001236035	EGAX00001241085	EGAR00001266303	CHC1083T.sorted.bam	EGAF00000691108	9702491f4d540b354b085a3fa6b2682e	4822238db1ee475207f0c7ec4ccfba99	EGAD00001001096
LIHM-FR	CHC1081N	EGAN00001236032	EGAX00001241082	EGAR00001266300	CHC1081N.sorted.bam	EGAF00000691105	f5dd7f26b7db8799303d098eb90f31c8	772aef3ae23c004e78b92715b93bb18f	EGAD00001001096
LIHM-FR	CHC1097N	EGAN00001236040	EGAX00001241090	EGAR00001266308	CHC1097N.sorted.bam	EGAF00000691113	0eb68096c833450a4937614e53e87cf6	54f2409ee744cce78e3e6878f698376a	EGAD00001001096
LIHM-FR	CHC1082T	EGAN00001236034	EGAX00001241084	EGAR00001266302	CHC1082T.sorted.bam	EGAF00000691107	4b14bf643af2ccace6fe1d16bbd6590c	f79dfb81cbbc9a02ea0cfce159815497	EGAD00001001096
LIHM-FR	CHC1089T	EGAN00001236038	EGAX00001241088	EGAR00001266306	CHC1089T.sorted.bam	EGAF00000691111	2c9219d2505117cee4cf10cbb8179b45	4bfa1235b69b8b09a08c7d9efca88e8b	EGAD00001001096
LIHM-FR	CHC1097T	EGAN00001236041	EGAX00001241091	EGAR00001266309	CHC1097T.sorted.bam	EGAF00000691114	ce52d0037e5b659b5d28bff943d93007	f9e29115635dfca98d6e0844a00b76ea	EGAD00001001096
LIHM-FR	CHC1098T	EGAN00001236042	EGAX00001241092	EGAR00001266310	CHC1098T.sorted.bam	EGAF00000691115	22b96b92271eea529ee6802be549bb2a	fa49c3e07eb33aae013854239f66f8f8	EGAD00001001096
LIHM-FR	CHC1091T	EGAN00001236039	EGAX00001241089	EGAR00001266307	CHC1091T.sorted.bam	EGAF00000691112	66526c904b9f8cff8585737809c2f85c	9b7d54c24699ff332546a88bcbd52ed8	EGAD00001001096
LIHM-FR	CHC2352T	EGAN00001236258	EGAX00001241308	EGAR00001266526	CHC2352T.sorted.bam	EGAF00000691431	a02292952ff0c7997f6f8a6ce83fa5d9	2197003d0cb669faf58f03d42a4c22ec	EGAD00001001096
LIHM-FR	CHC2351N	EGAN00001236256	EGAX00001241306	EGAR00001266524	CHC2351N.sorted.bam	EGAF00000691430	f237ac16d6ea9ee3317b55b002637942	d4b973e810d71bbb78ca3ad96be3b6a3	EGAD00001001096
