project_code	submitter_sample_id	ega_sample_id	ega_experiment_id	ega_run_id	file_name	ega_file_id	encrypted_file_md5sum	file_md5sum	dataset_id
OV-AU	AOCS-002-5-4	EGAN00001089367	EGAX00001080080	EGAR00001083643	20121116/S0428_20100706_2_Frag.nopd.nobc.bam.gpg	EGAF00000152254	81146c3c14ac8391fc0ee2e821472c0b	9230247b1bfca530f6d6c759a0b5d3f3	EGAD00001000293
OV-AU	AOCS-056-1-X	EGAN00001089320	EGAX00001080077	EGAR00001083640	20121116/S0416_20120320_2_LMP.nopd.nobc.bam.gpg	EGAF00000152251	8ec18eb1db1fafa168ef321f5695a13a	442e52e7e989ece0cec7ff91f8e7864e	EGAD00001000293
OV-AU	AOCS-058-5-X	EGAN00001089360	EGAX00001080076	EGAR00001083639	20121116/S0433_20120405_2_LMP.nopd.nobc.bam.gpg	EGAF00000152250	2ec0856a1d227f4009866736a9a6795a	f658f90c44b5f166d56e69962a39b804	EGAD00001000293
OV-AU	AOCS-084-5-4	EGAN00001089311	EGAX00001080085	EGAR00001083648	20121116/S0449_20120426_2_LMP.nopd.nobc.bam.gpg	EGAF00000152259	686e9261d8c2f6038cf82157a149495f	fd0f5950ded2082b7e6b99789b5b72e3	EGAD00001000293
OV-AU	AOCS-059-1-8	EGAN00001089370	EGAX00001080084	EGAR00001083647	20121116/S0413_20120416_2_LMP.nopd.nobc.bam.gpg	EGAF00000152258	63b7d449e036ff3f3c20301ee98b9a4f	97f11204a13021443c2ce2ee8757bfa5	EGAD00001000293
OV-AU	AOCS-002-5-4	EGAN00001089367	EGAX00001080140	EGAR00001083703	20121116/S0416_20100602_2_LMP.nopd.nobc.bam.gpg	EGAF00000152314	adaa2490b298df9e8a469352fd100ec2	b0067bd9713f0dfa365f4a5774481121	EGAD00001000293
OV-AU	AOCS-005-1-8	EGAN00001089374	EGAX00001080142	EGAR00001083705	20121116/S0417_20120403_1_LMP.nopd.nobc.bam.gpg	EGAF00000152316	9114cffea4989936c4f07b8859cad221	c22b186e7fb2b21df16fcd5d2df1833f	EGAD00001000293
OV-AU	AOCS-055-5-1	EGAN00001089345	EGAX00001080143	EGAR00001083706	20121116/S0428_20120503_1_LMP.nopd.nobc.bam.gpg	EGAF00000152317	3623a78e342b8b73b0909bdfd34180ba	b26b3794b9ce6697ce8b96ab9e888e93	EGAD00001000293
OV-AU	AOCS-005-5-2	EGAN00001089373	EGAX00001080136	EGAR00001083699	20121116/S0413_20120501_1_LMP.nopd.nobc.bam.gpg	EGAF00000152310	4e957861fa50b308aeb5cac5a0f46eed	d20894b867219ecf7ea8e6a0ce42ccd1	EGAD00001000293
OV-AU	AOCS-084-1-X	EGAN00001089330	EGAX00001080137	EGAR00001083700	20121116/S0039_20120426_1_LMP.nopd.nobc.bam.gpg	EGAF00000152311	654248eb594ebdf2aff279f8ef480dd8	4dfc0e5ade448293bbf1af99fb281c3e	EGAD00001000293
OV-AU	AOCS-075-1-0	EGAN00001089352	EGAX00001080138	EGAR00001083701	20121116/S0428_20110916_1_LMP.nopd.nobc.bam.gpg	EGAF00000152312	72664f88b230458c4f8ca79d5f83c254	8dff52387adc7e1920fa508ad0259867	EGAD00001000293
OV-AU	AOCS-056-5-4	EGAN00001089348	EGAX00001080139	EGAR00001083702	20121116/S0428_20120320_2_LMP.nopd.nobc.bam.gpg	EGAF00000152313	d218d138de90357ce1500abc834653ff	20b3854dbc52b817bab02f6afaa43332	EGAD00001000293
OV-AU	AOCS-064-5-0	EGAN00001089317	EGAX00001080145	EGAR00001083708	20121116/S0413_20110719_1_LMP.nopd.nobc.bam.gpg	EGAF00000152319	a59f2952616a15b3d3c2c831ac482fc1	94d859e4e3671bd8aef4641caeda8707	EGAD00001000293
OV-AU	AOCS-077-5-0	EGAN00001089363	EGAX00001080068	EGAR00001083631	20121116/S0417_20120419_2_LMP.nopd.nobc.bam.gpg	EGAF00000152242	a1cf9a4a218504f5b4c5f2ec52f769a7	01d1d3a9b29e7473e9367169a22f5eee	EGAD00001000293
OV-AU	AOCS-005-1-8	EGAN00001089374	EGAX00001080069	EGAR00001083632	20121116/S0039_20100414_1_Frag.nopd.nobc.bam.gpg	EGAF00000152243	181163ecd4b363333e94f7306fdadd8f	05c43d07618f4b6dca003344ff78a631	EGAD00001000293
OV-AU	AOCS-056-5-4	EGAN00001089348	EGAX00001080067	EGAR00001083630	20121116/S0039_20110725_1_LMP.nopd.nobc.bam.gpg	EGAF00000152241	874b01b377593596bb6ff7e1aee380dc	7a12eab527666fd162a131df95a2eaf7	EGAD00001000293
OV-AU	AOCS-001-5-1	EGAN00001089364	EGAX00001080072	EGAR00001083635	20121116/S0417_20100702_1_Frag.nopd.nobc.bam.gpg	EGAF00000152246	69f4a1bbd2ffd8b5044a85a2e7e7d699	ea8d859f36b403045467d7000858dc7f	EGAD00001000293
OV-AU	AOCS-056-5-4	EGAN00001089348	EGAX00001080071	EGAR00001083634	20121116/S0428_20120320_1_LMP.nopd.nobc.bam.gpg	EGAF00000152245	239e27f26c65a18d04addeb83be3793e	4dc35b9b599369f1f9a8314b5b01b857	EGAD00001000293
OV-AU	AOCS-081-1-1	EGAN00001089375	EGAX00001080074	EGAR00001083637	20121116/S0428_20120424_2_LMP.nopd.nobc.bam.gpg	EGAF00000152248	ded3a2b698b5e961ec5fdd083fa66060	c48d2ecd035bd80f2e72a48b95772142	EGAD00001000293
OV-AU	AOCS-064-3-3	EGAN00001089314	EGAX00001080075	EGAR00001083638	20121116/S0436_20120227_1_LMP.nopd.nobc.bam.gpg	EGAF00000152249	e1cb14f31ee0482632dcde6f1cecdfb2	a30d2dfef862311c3a4ebae4ccc56226	EGAD00001000293
OV-AU	AOCS-083-1-7	EGAN00001089381	EGAX00001080147	EGAR00001083710	20121116/S0414_20110929_2_LMP.nopd.nobc.bam.gpg	EGAF00000152321	ca5359586223688e9efaf8197cb315b2	ec771960accc7c651c0ebb33cc144e35	EGAD00001000293
