project_code	submitter_sample_id	ega_sample_id	ega_analysis_id	file_name	ega_file_id	encrypted_file_md5sum	file_md5sum	dataset_id
PAEN-AU	8068595	EGAN00001431907	EGAZ00001235369	20160818_PNET/510b17a2-fd6a-4785-986f-51b9a48f4ee3.bam.gpg	EGAF00001331563	84ec393d72ee3a5bc9156d129e3bc18e	e7b32aad4e37aac14f8c289bbfbbe245	EGAD00001002684
PAEN-AU	8068596	EGAN00001431906	EGAZ00001235368	20160818_PNET/6ccc29bb-19a0-4a1e-b0bc-2c2f1a7ecc15.bam.gpg	EGAF00001331562	eeb6cdffdc55365348bc9e1e1189e6fb	48132c8b4a4eb77667dad29fd0981a1c	EGAD00001002684
PAEN-AU	8068585	EGAN00001431905	EGAZ00001235367	20160818_PNET/d9b2da24-df8d-49da-b042-7c782bd1ed1f.bam.gpg	EGAF00001331561	09bc4fc80bf3bc4694315dbe4f544b02	bfb381a0859e873a56a2093d61399f5c	EGAD00001002684
PAEN-AU	8068587	EGAN00001431904	EGAZ00001235366	20160818_PNET/3571e5bc-4bce-4534-80d4-74b57bdea30d.bam.gpg	EGAF00001331560	4df9cbac8cb341cecafb80a9b7bfd9f0	c5d8e2fdbd821d1235c516a96dc2f501	EGAD00001002684
PAEN-AU	8068608	EGAN00001431911	EGAZ00001235373	20160818_PNET/42d8c4ce-3c2d-4d66-9996-e232463fc968.bam.gpg	EGAF00001331567	e67957775c39abf305b9087612b2a048	55e7f0890eff12eb37ea94f43510223f	EGAD00001002684
PAEN-AU	8068610	EGAN00001431910	EGAZ00001235372	20160818_PNET/0d25759f-f14a-49e0-a808-c37292ce9536.bam.gpg	EGAF00001331566	af43bcb077ed490912644a0f04ba9bef	f4e03fc310c38e1a57f5e01b7fd29982	EGAD00001002684
PAEN-AU	8068597	EGAN00001431909	EGAZ00001235371	20160818_PNET/d89dceb0-1f7a-4d48-a5c1-1fb5185803fa.bam.gpg	EGAF00001331565	43743a03ab5be6ea579ef55ff2df8489	338c1c728c24713fac897e1d22a2a901	EGAD00001002684
PAEN-AU	8068598	EGAN00001431908	EGAZ00001235370	20160818_PNET/02178d0d-3184-476e-b935-55ab41bb1a23.bam.gpg	EGAF00001331564	fcd88857b3f087d64ac0a966ace2f25e	165fc081c65abd4ad9f7a6ef3cfd1a82	EGAD00001002684
PAEN-AU	8068611	EGAN00001431913	EGAZ00001235375	20160818_PNET/2ff51fb7-9b45-4b35-800e-a4df79f5629d.bam.gpg	EGAF00001331569	934386c046b3817a80d6abb09051fd59	2638bbfb72b15fec0fc7486b6b306623	EGAD00001002684
PAEN-AU	8068613	EGAN00001431912	EGAZ00001235374	20160818_PNET/a7496620-1f16-45a9-9489-88c8624cbac5.bam.gpg	EGAF00001331568	e50091a325deac40c6377c8d5374b51f	1eb7bbc2ecf894d733c97cfc2365a154	EGAD00001002684
