project_code	submitter_sample_id	ega_sample_id	ega_experiment_id	ega_run_id	file_name	ega_file_id	encrypted_file_md5sum	file_md5sum	dataset_id
PRAD-FR	DA12018	EGAN00001468310	EGAX00001464850	EGAR00001502886	ls1650_C2TG4ACXX_7_12nf.ua.bam	EGAF00001417067	e8c9ae4fea61aaa9d772473b11c21fa0	aa0bdcada7df62fde722e9b206d93a32	EGAD00001003115
PRAD-FR	DA12018	EGAN00001468310	EGAX00001464851	EGAR00001502887	ls1652_C38MRACXX_1_12nf.ua.bam	EGAF00001417066	aa0215714b09084ab35569a56c795d64	a3872d3589376a33ffef413efe1fffa5	EGAD00001003115
PRAD-FR	DA12018	EGAN00001468310	EGAX00001464852	EGAR00001502888	ls1668_C39CNACXX_1_12nf.ua.bam	EGAF00001417065	9cfe82082211f75dbb3f9f452fce65b3	3f259ff9cd4b48302204b725d7d9b28f	EGAD00001003115
PRAD-FR	DA12018	EGAN00001468310	EGAX00001464853	EGAR00001502889	ls1684_C3BPNACXX_1_12nf.ua.bam	EGAF00001417064	b720833bc52435d49f723b52a3c7bd96	8dc1136824e09fbc674894f5491d18a4	EGAD00001003115
PRAD-FR	DA12018	EGAN00001468310	EGAX00001464854	EGAR00001502890	ls1700_C3CJEACXX_1_12nf.ua.bam	EGAF00001417063	59141eddb3338e50d81a066bda106c69	7f7d2f6a06727f3b71db814e031b0086	EGAD00001003115
PRAD-FR	DA12004	EGAN00001468311	EGAX00001464855	EGAR00001502891	ls1723_C2NCBACXX_1_1nf.ua.bam	EGAF00001417062	eaba195affc4ac0287451a0da1fdda1f	00b8537825bbdf0494ac50b0fb3f049a	EGAD00001003115
PRAD-FR	DA12004	EGAN00001468311	EGAX00001464856	EGAR00001502892	ls1739_C2NYVACXX_5_1nf.ua.bam	EGAF00001417061	7127fb1ab782b24a24084568964bf6a6	e05e0d5a0e2af6324d5096c003ac7e91	EGAD00001003115
PRAD-FR	DA12004	EGAN00001468311	EGAX00001464857	EGAR00001502893	ls1747_C2R3RACXX_1_1nf.ua.bam	EGAF00001417060	6b05e9e2b2152568a5d14139e43aa2fc	bc022f519d732c1fe446c147c4cc7659	EGAD00001003115
PRAD-FR	DA1201C	EGAN00001468304	EGAX00001464631	EGAR00001502667	ls2712_C4527ACXX_2_3nf.ua.bam	EGAF00001417870	ab54f51607d621183fe3c750bc85c0ec	01bbdde53df5313e030c6f0fc7a31630	EGAD00001003115
PRAD-FR	DA12003	EGAN00001468309	EGAX00001464848	EGAR00001502884	ls389_D1HMEACXX_3_4nf.ua.bam	EGAF00001417069	be06fa6cd3e8cf4e852114a925b31aae	f289f43112dea50ed182b279dac1fc6d	EGAD00001003115
PRAD-FR	DA12018	EGAN00001468310	EGAX00001464849	EGAR00001502885	ls1633_C2R3RACXX_1_12nf.ua.bam	EGAF00001417068	fa107ab072dbcb52d729c91f8b1c0fbc	04f2f6d61811f303071cd4eb4d0a289e	EGAD00001003115
PRAD-FR	DA1201A	EGAN00001468323	EGAX00001465246	EGAR00001503282	ls43_D1112ACXX_5_2.ua.bam	EGAF00001416947	062ee8ee76816305d22e03c93f572e1f	604b648b4038615cd073e39779e18212	EGAD00001003115
PRAD-FR	DA1201A	EGAN00001468323	EGAX00001465247	EGAR00001503283	ls2629_C4527ACXX_3_5nf.ua.bam	EGAF00001416946	c646fca535220f3a7edbbf019a29bcb7	a8a4401fbcfe412072841e9911a45cad	EGAD00001003115
PRAD-FR	DA1200A	EGAN00001468322	EGAX00001465248	EGAR00001503284	ls2437_C450WACXX_7_2nf.ua.bam	EGAF00001416945	d89068e64b1eb485e814f578b7c9f2fb	26abc6febdb17ecc5a52d6ab43266f24	EGAD00001003115
PRAD-FR	DA1201A	EGAN00001468323	EGAX00001465249	EGAR00001503285	ls47_D1112ACXX_6_2.ua.bam	EGAF00001416944	30dc9a3fe9c73110767dc515551ba114	5127a8fa0fd26fa88cf1c4cfc3d45ab5	EGAD00001003115
PRAD-FR	DA12015	EGAN00001468324	EGAX00001465250	EGAR00001503286	ls320_D1HMEACXX_6_13nf.ua.bam	EGAF00001416943	b88702993f06e304b92db71aa8903285	1e7bf6421804584a4ddcdf8f7e3bcf6a	EGAD00001003115
PRAD-FR	DA1200D	EGAN00001468325	EGAX00001465251	EGAR00001503287	ls395_D1HMEACXX_6_6nf.ua.bam	EGAF00001416942	62fa6c1b28aa01dc1934afa2bf379479	132e21a624ca8e5113324cdcf97bdca0	EGAD00001003115
PRAD-FR	DA12015	EGAN00001468324	EGAX00001465252	EGAR00001503288	ls252_C16NDACXX_8_14nf.ua.bam	EGAF00001416941	04ab90fe6a7c83be69159a2f55e6ea55	163f1c03b2df92bfe73c0bb02738cf12	EGAD00001003115
PRAD-FR	DA12015	EGAN00001468324	EGAX00001465253	EGAR00001503289	ls262_C172LACXX_7_14nf.ua.bam	EGAF00001416940	81fa6660753811ee540e7cd1e99b3f53	c57da326112aaa615e0df4ce65d84fdd	EGAD00001003115
PRAD-FR	DA1201A	EGAN00001468323	EGAX00001465244	EGAR00001503280	ls39_D1112ACXX_4_2.ua.bam	EGAF00001416949	0a363445d407c198873a2523bb9b51f0	ee0d3a1c9a7407e9b8e302ee9348609c	EGAD00001003115
PRAD-FR	DA1201A	EGAN00001468323	EGAX00001465245	EGAR00001503281	ls2624_C48YBACXX_8_5nf.ua.bam	EGAF00001416948	7454789c339125f5302a615a57b512a3	43e7dda360a8adb5c3008332048a6626	EGAD00001003115
