ICGC DCC Project Code	ICGC Submitted Donor ID	ICGC Submitted Specimen ID	ICGC Submitted Specimen Type	ICGC Submitted Sample ID	ICGC Submitted Sequencing Strategy	ICGC Raw Data Accession	EGA Study Accession	EGA Dataset Accession	EGA Library Strategy	EGA Experiment Accession	EGA ERX Accession	EGA ERS Accession	EGA Sample Accession	EGA Run Accession	EGA Analysis Accession	EGA Raw Sequence Filename	EGA File Accession	MD5_Checksum	Unencrypted_Checksum	File Size
EOPC-DE	EOPC-063	EOPC-063_tumor_01	Primary tumour - solid tissue	EOPC-063_tumor_01	WGS	['EGAS00001000383']	EGAS00001000383	EGAD00001002669	WGS	EGAX00001432146	ERX1686429	ERS1295039	EGAN00001422033	EGAR00001469598		WGS_PAIRED_EOPC-063_tumor_01__SN7001153_0202_BC47UJACXX_L005_NoIndex_R1.fastq.gz	EGAF00001300606	d93876284675cf07642d77ce55a8b006	cf227e42e5a358104f992587efc1e79e	
EOPC-DE	EOPC-063	EOPC-063_tumor_01	Primary tumour - solid tissue	EOPC-063_tumor_01	WGS	['EGAS00001000383']	EGAS00001000383	EGAD00001002669	WGS	EGAX00001432146	ERX1686429	ERS1295039	EGAN00001422033	EGAR00001469598		WGS_PAIRED_EOPC-063_tumor_01__SN7001153_0202_BC47UJACXX_L005_NoIndex_R2.fastq.gz	EGAF00001300607	a25bb03ddbf9490e0dd4fde902e45654	5d37f27cbd8257213f9c9f0486c368d3	
EOPC-DE	EOPC-063	EOPC-063_tumor_01	Primary tumour - solid tissue	EOPC-063_tumor_01	WGS	['EGAS00001000383']	EGAS00001000383	EGAD00001002669	WGS	EGAX00001432147	ERX1686430	ERS1295039	EGAN00001422033	EGAR00001469599		WGS_PAIRED_EOPC-063_tumor_01__SN841_0278_AC4H4KACXX_L006_NoIndex_R1.fastq.gz	EGAF00001300608	651a9de3e3e5b81ab34f6b767179115b	7060fa14494367baee9b1cd43b346edb	
EOPC-DE	EOPC-063	EOPC-063_tumor_01	Primary tumour - solid tissue	EOPC-063_tumor_01	WGS	['EGAS00001000383']	EGAS00001000383	EGAD00001002669	WGS	EGAX00001432147	ERX1686430	ERS1295039	EGAN00001422033	EGAR00001469599		WGS_PAIRED_EOPC-063_tumor_01__SN841_0278_AC4H4KACXX_L006_NoIndex_R2.fastq.gz	EGAF00001300609	ba8fc08a57373fe6943cedf118642cc6	5a89ca3416877bc29bd78044388d1694	
EOPC-DE	EOPC-063	EOPC-063_tumor_01	Primary tumour - solid tissue	EOPC-063_tumor_01	WGS	['EGAS00001000383']	EGAS00001000383	EGAD00001002669	WGS	EGAX00001432148	ERX1686431	ERS1295039	EGAN00001422033	EGAR00001469600		WGS_PAIRED_EOPC-063_tumor_01__SN841_0278_AC4H4KACXX_L007_NoIndex_R2.fastq.gz	EGAF00001300611	be17d47081be7be575a24d3c85bce675	417839358aa63c2a8e154a72e71f5e10	
EOPC-DE	EOPC-063	EOPC-063_tumor_01	Primary tumour - solid tissue	EOPC-063_tumor_01	WGS	['EGAS00001000383']	EGAS00001000383	EGAD00001002669	WGS	EGAX00001432148	ERX1686431	ERS1295039	EGAN00001422033	EGAR00001469600		WGS_PAIRED_EOPC-063_tumor_01__SN841_0278_AC4H4KACXX_L007_NoIndex_R1.fastq.gz	EGAF00001300610	f51d7c892d09b4371b801b301b5390af	c9e539d1a92033dfa99516bb24504a92	
EOPC-DE	EOPC-063	EOPC-063_tumor_01	Primary tumour - solid tissue	EOPC-063_tumor_01	WGS	['EGAS00001000383']	EGAS00001000383	EGAD00001002669	WGS	EGAX00001432149	ERX1686432	ERS1295039	EGAN00001422033	EGAR00001469601		WGS_PAIRED_EOPC-063_tumor_01__SN841_0278_AC4H4KACXX_L008_NoIndex_R1.fastq.gz	EGAF00001300612	1caa94588acf902acd52e6e3e47090ab	fcd0990e0f5d414898f78009c22ce622	
EOPC-DE	EOPC-063	EOPC-063_tumor_01	Primary tumour - solid tissue	EOPC-063_tumor_01	WGS	['EGAS00001000383']	EGAS00001000383	EGAD00001002669	WGS	EGAX00001432149	ERX1686432	ERS1295039	EGAN00001422033	EGAR00001469601		WGS_PAIRED_EOPC-063_tumor_01__SN841_0278_AC4H4KACXX_L008_NoIndex_R2.fastq.gz	EGAF00001300613	cd4422fc971e3d50f735b65be904aab7	966ff469af39acd5f0ebc878d282b7e7	
EOPC-DE	LOPC-017	LOPC-017_tumor_01	Primary tumour - solid tissue	LOPC-017_tumor_01	WGS	['EGAD00001003256']													
EOPC-DE	EOPC-112	EOPC-112_tumor_01	Primary tumour - solid tissue	EOPC-112_tumor_01	WGS	['EGAD00001003256:EGAF00001590086:EGAF00001590087']													
EOPC-DE	EOPC-196	EOPC-196_normal	Normal - blood derived	EOPC-196_normal	WGS	['EGAD00001003256']	EGAS00001000383	EGAD00001003256	none			ERS1643461	EGAN00001516570		EGAZ00001258317	WGS_paired_EOPC-196_normal_merged.mdup.bam	EGAF00001592124	2dbbe636d9615c54db8739b2bae5b3bd	8bd2a1dcff3fa8329a19500d683b5d1b	None
EOPC-DE	EOPC-189	EOPC-189_normal	Normal - blood derived	EOPC-189_normal	WGS	['EGAD00001003256']	EGAS00001000383	EGAD00001003256	none			ERS1643455	EGAN00001516564		EGAZ00001258311	WGS_paired_EOPC-189_normal_merged.mdup.bam	EGAF00001592130	7d39aac70e30a0af88826e1b617498c9	136fd779203eb952157cce491b36cbf3	None
EOPC-DE	EOPC-046	EOPC-046_tumor_01	Primary tumour - solid tissue	EOPC-046_tumor_01	WGS	['EGAD00001003256:EGAF00001579213:EGAF00001579214']													
EOPC-DE	EOPC-132	EOPC-132_normal	Normal - blood derived	EOPC-132_normal	WGS	['EGAD00001003256:EGAF00001590070:EGAF00001590071']													
EOPC-DE	EOPC-071	EOPC-071_normal	Normal - blood derived	EOPC-071_normal	WGS	['EGAD00001003256:EGAF00001579183:EGAF00001579184']													
EOPC-DE	EOPC-044	EOPC-044_tumor_01	Primary tumour - solid tissue	EOPC-044_tumor_01	WGS	['EGAD00001003256:EGAF00001579217:EGAF00001579218']													
EOPC-DE	EOPC-079	EOPC-079_tumor_01	Primary tumour - solid tissue	EOPC-079_tumor_01	WGS	['EGAD00001003256']	EGAS00001000383	EGAD00001003256	none			ERS1643440	EGAN00001516549		EGAZ00001258296	WGS_paired_EOPC-079_tumor_01_merged.mdup.bam	EGAF00001591472	9fcf2532c2ce0544eb0af1d78641b476	bcbb8dd4a841f2e780de76a653b4fda3	None
EOPC-DE	EOPC-159	EOPC-159_normal	Normal - blood derived	EOPC-159_normal	WGS	['EGAD00001003256']	EGAS00001000383	EGAD00001003256	none			ERS1645758	EGAN00001516734		EGAZ00001258679	WGS_paired_EOPC-159_normal_merged.mdup.bam	EGAF00001593947	4e37cd0e3cf14e5141735c056f4c9aef	033848d92bf4507b69f69062a3de125b	None
EOPC-DE	EOPC-162	EOPC-162_tumor_01	Primary tumour - solid tissue	EOPC-162_tumor_01	WGS	['EGAD00001003256:EGAF00001590138:EGAF00001590139']													
EOPC-DE	EOPC-114	EOPC-114_normal	Normal - blood derived	EOPC-114_normal	WGS	['EGAD00001003256']	EGAS00001000383	EGAD00001003256	none			ERS1639138	EGAN00001516519		EGAZ00001258279	WGS_paired_EOPC-114_normal_merged.mdup.bam	EGAF00001590259	4c12892452bee3b8e9c55e08b71f0463	7e1cf5ba4cdc5b9e86713b40f2cac57b	None
EOPC-DE	EOPC-121	EOPC-121_normal	Normal - blood derived	EOPC-121_normal	WGS	['EGAS00001000383']	EGAS00001000383	EGAD00001002669	WGS	EGAX00001432195	ERX1686478	ERS1295050	EGAN00001422044	EGAR00001469647		WGS_PAIRED_EOPC-121_normal_ST-E00240_0047_BH2H2FALXX_L004_R1.fastq.gz	EGAF00001302081	f2d9c45c90a35a7c2bc7eeab0f23f1c6	1e9eb8267f50acc1e6037f7593e994a8	
EOPC-DE	EOPC-121	EOPC-121_normal	Normal - blood derived	EOPC-121_normal	WGS	['EGAS00001000383']	EGAS00001000383	EGAD00001002669	WGS	EGAX00001432195	ERX1686478	ERS1295050	EGAN00001422044	EGAR00001469647		WGS_PAIRED_EOPC-121_normal_ST-E00240_0047_BH2H2FALXX_L004_R2.fastq.gz	EGAF00001302082	3cbe4b1f665b20deb621b7ab8ca1c62b	45c0f418377cac9980ea73b3adc9e79e	
EOPC-DE	EOPC-121	EOPC-121_normal	Normal - blood derived	EOPC-121_normal	WGS	['EGAS00001000383']	EGAS00001000383	EGAD00001002669	WGS	EGAX00001432196	ERX1686479	ERS1295050	EGAN00001422044	EGAR00001469648		WGS_PAIRED_EOPC-121_normal_ST-E00210_0036_AH5MYMCCXX_L001_R1.fastq.gz	EGAF00001302083	a19fd561a487664e8a6874f2a37466e2	a86f8876a702913b174d2757fc6e093c	
EOPC-DE	EOPC-121	EOPC-121_normal	Normal - blood derived	EOPC-121_normal	WGS	['EGAS00001000383']	EGAS00001000383	EGAD00001002669	WGS	EGAX00001432196	ERX1686479	ERS1295050	EGAN00001422044	EGAR00001469648		WGS_PAIRED_EOPC-121_normal_ST-E00210_0036_AH5MYMCCXX_L001_R2.fastq.gz	EGAF00001302084	351c4e368e6b1cb2dba324a65cb65be1	96fc1b0bc7188fbbd4f37edc1b179fb8	
EOPC-DE	EOPC-127	EOPC-127_normal	Normal - blood derived	EOPC-127_normal	WGS	['EGAD00001003256:EGAF00001590076:EGAF00001590077']													
EOPC-DE	EOPC-163	EOPC-163_normal	Normal - blood derived	EOPC-163_normal	WGS	['EGAD00001003256:EGAF00001590136:EGAF00001590137']													
EOPC-DE	EOPC-108	EOPC-108_tumor_01	Primary tumour - solid tissue	EOPC-108_tumor_01	WGS	['EGAD00001003256:EGAF00001589563:EGAF00001589564']													
EOPC-DE	EOPC-059	EOPC-059_normal	Normal - blood derived	EOPC-059_normal	WGS	['EGAD00001003256:EGAF00001579205:EGAF00001579206']													
EOPC-DE	EOPC-044	EOPC-044_normal	Normal - blood derived	EOPC-044_normal	WGS	['EGAD00001003256:EGAF00001579217:EGAF00001579218']													
EOPC-DE	EOPC-152	EOPC-152_tumor_01	Primary tumour - solid tissue	EOPC-152_tumor_01	WGS	['EGAD00001003256:EGAF00001590042:EGAF00001590043']													
EOPC-DE	EOPC-024	EOPC-024_tumor	Primary tumour - solid tissue	EOPC-024_tumor	WGS	['EGAD00001002124']													
EOPC-DE	EOPC-020	EOPC-020_normal	Normal - blood derived	EOPC-020_normal	WGS	['EGAD00001003256:EGAF00001579225:EGAF00001579226']													
EOPC-DE	EOPC-061	EOPC-061_tumor_01	Primary tumour - solid tissue	EOPC-061_tumor_01	WGS	['EGAD00001003256:EGAF00001579201:EGAF00001579202']													
EOPC-DE	EOPC-082	EOPC-082_tumor_01	Primary tumour - solid tissue	EOPC-082_tumor_01	WGS	['EGAD00001003256:EGAF00001579173:EGAF00001579174']													
EOPC-DE	EOPC-024	EOPC-024_normal	Normal - blood derived	EOPC-024_normal	WGS	['EGAD00001002124']													
EOPC-DE	EOPC-161	EOPC-161_tumor_01	Primary tumour - solid tissue	EOPC-161_tumor_01	WGS	['EGAD00001003256:EGAF00001590140:EGAF00001590141']													
EOPC-DE	EOPC-191	EOPC-191_tumor_01	Primary tumour - solid tissue	EOPC-191_tumor_01	WGS	['EGAD00001003256']	EGAS00001000383	EGAD00001003256	none			ERS1643460	EGAN00001516569		EGAZ00001258316	WGS_paired_EOPC-191_tumor_01_merged.mdup.bam	EGAF00001592125	440ea4e679eb15ab6174279a46de0e03	e1d511d09a16a6bf8271b642cb47afe7	None
EOPC-DE	EOPC-178	EOPC-178_normal	Normal - blood derived	EOPC-178_normal	WGS	['EGAD00001003256:EGAF00001590110:EGAF00001590111']													
EOPC-DE	EOPC-05	EOPC-05_tumor	Primary tumour - solid tissue	EOPC-05_tumor	WGS	['EGAS00001000400']	EGAS00001000400	EGAD00001000303	WGS	EGAX00001081521	ERX190900	ERS202655	EGAN00001089455	EGAR00001085084		WGS_MATE_PAIR_EOPC-05_tumor_EMBL_run110615_HWI-EAS225_00061_FC_62K88AAXX_s_6_sequence.bam.gpg	EGAF00000154467	21015d6f98917b945d65769f48d59dbb	73de5c83450f75dbdd61f9565cf98063	
EOPC-DE	EOPC-05	EOPC-05_tumor	Primary tumour - solid tissue	EOPC-05_tumor	WGS	['EGAS00001000400']	EGAS00001000383	EGAD00001000306	WGS	EGAX00001081553	ERX190934	ERS202655	EGAN00001089455	EGAR00001085117		EOPC-05_tumor_merged.bam.rmdup.bam.gpg	EGAF00000154500	c8fa01fc1ccbd01ebfe4ff5ceed77be7	6c8d9a4a37e93c82a454761a4fdfbcf0	
EOPC-DE	EOPC-198	EOPC-198_tumor_01	Primary tumour - solid tissue	EOPC-198_tumor_01	WGS	['EGAD00001003256']	EGAS00001000383	EGAD00001003256	none			ERS1643466	EGAN00001516575		EGAZ00001258322	WGS_paired_EOPC-198_tumor_01_merged.mdup.bam	EGAF00001592119	509300da24a66efe10b4eaadb623532e	5ed36ef9177cd3dffd4ddebd56fa254e	None
EOPC-DE	EOPC-154	EOPC-154_normal	Normal - blood derived	EOPC-154_normal	WGS	['EGAS00001000383']	EGAS00001000383	EGAD00001002669	WGS	EGAX00001432217	ERX1686500	ERS1295066	EGAN00001422060	EGAR00001469669		WGS_PAIRED_EOPC-154_normal_ST-E00210_0024_BH2GYYALXX_L005_R1.fastq.gz	EGAF00001302125	1eef64670fdf247e20c54a9b75f06fc5	439bd946f121406dd5cc82a6b33bab8c	
EOPC-DE	EOPC-154	EOPC-154_normal	Normal - blood derived	EOPC-154_normal	WGS	['EGAS00001000383']	EGAS00001000383	EGAD00001002669	WGS	EGAX00001432217	ERX1686500	ERS1295066	EGAN00001422060	EGAR00001469669		WGS_PAIRED_EOPC-154_normal_ST-E00210_0024_BH2GYYALXX_L005_R2.fastq.gz	EGAF00001302126	009f774d5403ec28cbfc2c829c58f1ca	ef9117e3111456b275938b91220b36de	
EOPC-DE	EOPC-155	EOPC-155_normal	Normal - blood derived	EOPC-155_normal	WGS	['EGAD00001003256:EGAF00001590146:EGAF00001590147']													
EOPC-DE	EOPC-123	EOPC-123_tumor_01	Primary tumour - solid tissue	EOPC-123_tumor_01	WGS	['EGAD00001003256']	EGAS00001000383	EGAD00001003256	none			ERS1643444	EGAN00001516553		EGAZ00001258307	WGS_paired_EOPC-123_tumor_01_merged.mdup.bam	EGAF00001592134	0858a6a3e38afa2f363160e674f32417	422da22268c8929edd272925fae7cda7	None
EOPC-DE	EOPC-142	EOPC-142_normal	Normal - blood derived	EOPC-142_normal	WGS	['EGAD00001003256:EGAF00001590058:EGAF00001590059']													
EOPC-DE	EOPC-03	EOPC-03_normal	Normal - blood derived	EOPC-03_normal	WGS	['EGAS00001000400']	EGAS00001000400	EGAD00001000303	WGS	EGAX00001081516	ERX190895	ERS202650	EGAN00001089450	EGAR00001085079		WGS_MATE_PAIR_EOPC-03_normal_EMBL_run110427_HWI-EAS225_00053_FC_62GPRAAXX_s_4_sequence.bam.gpg	EGAF00000154462	65fe593689159eb6ab8b39de956c79da	631ae31b01d8534852a4598044f0fb1b	
EOPC-DE	EOPC-03	EOPC-03_normal	Normal - blood derived	EOPC-03_normal	WGS	['EGAS00001000400']	EGAS00001000383	EGAD00001000306	WGS	EGAX00001081548	ERX190929	ERS202650	EGAN00001089450	EGAR00001085112		EOPC-03_normal_merged.bam.rmdup.bam.gpg	EGAF00000154495	8a877c1a5c42aa8549fb8f9916f06e55	5fd181affa9ce25af9fd15a3ea4c4f61	
EOPC-DE	EOPC-065	EOPC-065_tumor_01	Primary tumour - solid tissue	EOPC-065_tumor_01	WGS	['EGAD00001003256:EGAF00001579195:EGAF00001579196']													
EOPC-DE	EOPC-033	EOPC-033_normal	Normal - blood derived	EOPC-033_normal	WGS	['EGAD00001002124']													
EOPC-DE	EOPC-09	EOPC-09_tumor	Primary tumour - solid tissue	EOPC-09_tumor	WGS	['EGAS00001000400']	EGAS00001000400	EGAD00001000303	WGS	EGAX00001081529	ERX190908	ERS202659	EGAN00001089459	EGAR00001085092		WGS_MATE_PAIR_EOPC-09_tumor_EMBL_run110629_GAPC01_00034_FC_70H5KAAXX_s_6_sequence.bam.gpg	EGAF00000154475	c9c7a9ec8173599e3252d114d08ade4d	09e3533ea4d9365897bb5ff6d54dd1f5	
EOPC-DE	EOPC-09	EOPC-09_tumor	Primary tumour - solid tissue	EOPC-09_tumor	WGS	['EGAS00001000400']	EGAS00001000383	EGAD00001000306	WGS	EGAX00001081557	ERX190938	ERS202659	EGAN00001089459	EGAR00001085121		EOPC-09_tumor_merged.bam.rmdup.bam.gpg	EGAF00000154504	12b729109dd0f504e41b82296f070741	c6fec9ac41d291ef8b8ef97e08bb847b	
