project_code	submitter_sample_id	ega_sample_id	ega_analysis_id	file_name	ega_file_id	encrypted_file_md5sum	file_md5sum	dataset_id
PRAD-CA	CPCG0003-F1	EGAN00001220574	EGAZ00001224591	CPCG/100PG/bam/CPCG0003-F1.bam	EGAF00001213990	608375535baa3607356ab95f39de17ec	85c595110a12017db9a1ee019d291057	EGAD00001003105,EGAD00001003139
PRAD-CA	CPCG0006-F1	EGAN00001220576	EGAZ00001224592	CPCG/100PG/bam/CPCG0006-F1.bam	EGAF00001213991	42b04c73777f97fd61cf38c064c4c1c6	575eca73701742dd8d588f3e9fe4be89	EGAD00001003105,EGAD00001003139
PRAD-CA	CPCG0020-F1	EGAN00001220580	EGAZ00001224594	CPCG/100PG/bam/CPCG0020-F1.bam	EGAF00001213993	2a7c63866dd69fa5a29ed30570961531	3efe84951fb7e410403007c155c4f9a9	EGAD00001003139,EGAD00001003105
PRAD-CA	CPCG0040-F1	EGAN00001220582	EGAZ00001224596	CPCG/100PG/bam/CPCG0040-F1.bam	EGAF00001213995	6b34380fb446193566df725c8559d849	64a956f34d7c1e86d3c741d80fb04294	EGAD00001003139,EGAD00001003105
PRAD-CA	CPCG0046-F1	EGAN00001220584	EGAZ00001224598	CPCG/100PG/bam/CPCG0046-F1.bam	EGAF00001213997	59c7522f1390d81b10d03c1c95312926	f18dc5b2cb6eb65ab27f21a5180cde5a	EGAD00001003139,EGAD00001003105
PRAD-CA	CPCG0047-F1	EGAN00001220586	EGAZ00001224600	CPCG/100PG/bam/CPCG0047-F1.bam	EGAF00001213999	c5c7f7a105f32b69cae696e113358d70	e11d6fa28d5028281c5835a5ce62919a	EGAD00001003139,EGAD00001003105
PRAD-CA	CPCG0057-F1	EGAN00001220590	EGAZ00001224603	CPCG/100PG/bam/CPCG0057-F1.bam	EGAF00001214002	5ebc20a6867d6bd1bf8ef11e1495b4fd	d67843ec7cab66fc6e1e0cfa1d53d56a	EGAD00001003139,EGAD00001003105
PRAD-CA	CPCG0063-F1	EGAN00001220592	EGAZ00001224604	CPCG/100PG/bam/CPCG0063-F1.bam	EGAF00001214003	c32d0b51619e78904f553da2ec66a05e	aa398afa86f29e3cd44a74cff561e010	EGAD00001003105,EGAD00001003139
PRAD-CA	CPCG0078-F1	EGAN00001220594	EGAZ00001224607	CPCG/100PG/bam/CPCG0078-F1.bam	EGAF00001214006	a4f2d891a6bf928f7c24fd4a4bc0a9e9	dee4aab947d2c06dfeacbcc0b9d9d047	EGAD00001003139,EGAD00001003105
PRAD-CA	CPCG0081-F1	EGAN00001220596	EGAZ00001224608	CPCG/100PG/bam/CPCG0081-F1.bam	EGAF00001214007	fa256341d6e1c9a55f500aa9f3bc9e71	62cc7691fb18cebe6e62520cefb4cb34	EGAD00001003139,EGAD00001003105
PRAD-CA	CPCG0083-F1	EGAN00001220598	EGAZ00001224610	CPCG/100PG/bam/CPCG0083-F1.bam	EGAF00001214009	49c73ce223783fd8e48a773b9d32f0b5	3747035ccca43a748e0040e2ae67df45	EGAD00001003139,EGAD00001003105
PRAD-CA	CPCG0095-F1	EGAN00001220604	EGAZ00001224614	CPCG/100PG/bam/CPCG0095-F1.bam	EGAF00001214013	d210f6821bcd8a6369f9146c46010c18	e97a524f65ce488a813cde0268e7228e	EGAD00001003105,EGAD00001003139
PRAD-CA	CPCG0098-F1	EGAN00001220606	EGAZ00001224616	CPCG/100PG/bam/CPCG0098-F1.bam	EGAF00001214015	d5bdac098aa27505cca0912648b5f46f	58668abccf607bc35174f299e19e555f	EGAD00001003105,EGAD00001003139
PRAD-CA	CPCG0102-F1	EGAN00001220611	EGAZ00001224619	CPCG/100PG/bam/CPCG0102-F1.bam	EGAF00001214018	6e499152218872471816ff9419a2d4be	91c7c3cbe3791b2a74b2b59612d1e1a8	EGAD00001003105,EGAD00001003139
PRAD-CA	CPCG0114-F1	EGAN00001220613	EGAZ00001224621	CPCG/100PG/bam/CPCG0114-F1.bam	EGAF00001214020	1e4a403449e48a0be226cd998d5af3cd	8495ffbbe0641b6b09b3dda76f88dabf	EGAD00001003105,EGAD00001003139
PRAD-CA	CPCG0123-F1	EGAN00001220617	EGAZ00001224627	CPCG/100PG/bam/CPCG0123-F1.bam	EGAF00001214026	b9e43d5085eb758cd2989d8431fd69d9	4eb81aff975e6b05be929c7cc15cc70b	EGAD00001003139,EGAD00001003105
PRAD-CA	CPCG0127-F1	EGAN00001220620	EGAZ00001224630	CPCG/100PG/bam/CPCG0127-F1.bam	EGAF00001214029	1b50ea9bc3e5d4a5a116dd803269b92a	884b0960c5cc26465d3e784b836385c6	EGAD00001003105,EGAD00001003139
PRAD-CA	CPCG0166-F1	EGAN00001220626	EGAZ00001224634	CPCG/100PG/bam/CPCG0166-F1.bam	EGAF00001214033	a1fd62eff3acf43849fe60e9de75c0d7	9a75f9929d6a66b8479bbaba4f6cb3e4	EGAD00001003105,EGAD00001003139
PRAD-CA	CPCG0185-F1	EGAN00001220634	EGAZ00001224639	CPCG/100PG/bam/CPCG0185-F1.bam	EGAF00001213925	5ee79c0d14ed398384d18ac77174a8f3	f3770b2aa62cf26268aa0aca721c52f8	EGAD00001003105,EGAD00001003139
PRAD-CA	CPCG0189-F1	EGAN00001220636	EGAZ00001224640	CPCG/100PG/bam/CPCG0189-F1.bam	EGAF00001213926	54269d3d5f60ba77968a2e30b468423d	aa7043a8a6721dbe92dd33cd77f9d65b	EGAD00001003105,EGAD00001003139
PRAD-CA	CPCG0190-F1	EGAN00001220638	EGAZ00001224642	CPCG/100PG/bam/CPCG0190-F1.bam	EGAF00001213928	7c871550ef25535e65e6d84d71f938cb	19f0e211891e8bf5d8abdb7e6cc20c56	EGAD00001003105,EGAD00001003139
PRAD-CA	CPCG0191-F1	EGAN00001220640	EGAZ00001224643	CPCG/100PG/bam/CPCG0191-F1.bam	EGAF00001213929	36d9c74a7676cddf4b21e7df46b23b9e	cd5eae455901a8fa9d2b93295645525a	EGAD00001003139,EGAD00001003105
PRAD-CA	CPCG0199-F1	EGAN00001220644	EGAZ00001224646	CPCG/100PG/bam/CPCG0199-F1.bam	EGAF00001213932	374c1f6e753a3e3834df4f536cffebca	358bad9573feb3554574bb7159e6aea0	EGAD00001003139,EGAD00001003105
PRAD-CA	CPCG0201-F1	EGAN00001220646	EGAZ00001224648	CPCG/100PG/bam/CPCG0201-F1.bam	EGAF00001213934	d75166a6bb991a442c30f29f03e0760e	b31df80b6791f34f38b574dbc95742a0	EGAD00001003139,EGAD00001003105
PRAD-CA	CPCG0203-F1	EGAN00001220648	EGAZ00001224650	CPCG/100PG/bam/CPCG0203-F1.bam	EGAF00001213936	3f04220e460e70892eb8db7f2eb829dc	a01fd2df09077fc7409ad46c80b9c6ea	EGAD00001003105,EGAD00001003139
PRAD-CA	CPCG0208-F1	EGAN00001220652	EGAZ00001224653	CPCG/100PG/bam/CPCG0208-F1.bam	EGAF00001213939	5b4d58ac02484baf306b37ce15dcb349	d082c1ee29cd45f52ccc8d585d967532	EGAD00001003139,EGAD00001003105
PRAD-CA	CPCG0211-F1	EGAN00001220656	EGAZ00001224656	CPCG/100PG/bam/CPCG0211-F1.bam	EGAF00001213942	3e9eef262b35217b677032e0c397d6c4	14f729697a04e72275388dd7866fe1d1	EGAD00001003139,EGAD00001003105
PRAD-CA	CPCG0212-F1	EGAN00001220658	EGAZ00001224657	CPCG/100PG/bam/CPCG0212-F1.bam	EGAF00001213943	6fd9c766104ed9c545dd91d72990fd8d	c910ef2f312157825406e41e00acf3af	EGAD00001003105,EGAD00001003139
PRAD-CA	CPCG0213-F1	EGAN00001220660	EGAZ00001224658	CPCG/100PG/bam/CPCG0213-F1.bam	EGAF00001213944	d4e495e3bed26ca7704e71e284c8a714	b6c605a84627bbd324a0607f36e21573	EGAD00001003105,EGAD00001003139
PRAD-CA	CPCG0217-F1	EGAN00001220662	EGAZ00001224659	CPCG/100PG/bam/CPCG0217-F1.bam	EGAF00001213945	4fd0956651fd6e15e68e496896a32131	a71304846651c2ed8dd0e741a8a36d25	EGAD00001003105,EGAD00001003139
